DATAFLOW,AUDST,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_EBD_SAL,0,2013-03-31,PT,9.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_GP_SAL,0,2013-03-31,PT,7.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_GP_TNA,0,2013-03-31,PT,7.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_OD_TO_OPC,0,2013-03-31,PT,3.2
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_PAT_SAL,0,2013-03-31,PT,3.0
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_PAT_TNW,0,2013-03-31,PT,6.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_PR_PAT,0,2013-03-31,PT,89.3
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,PPAR_TP_PBT,0,2013-03-31,PT,30.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,SUFR_ESF_TSF,0,2013-03-31,PT,72.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,SUFR_GCF_TUF,0,2013-03-31,PT,51.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,SUFR_GFAF_TUF,0,2013-03-31,PT,38.6
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,SUFR_GS_GCF,0,2013-03-31,PT,63.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,PREV_YR,2013,2012,SUFR_IBB_TES,0,2013-03-31,PT,21.1
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2014,2013,AUTR_GVA_GFA,0,2014-03-31,PT,53.8
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2014,2013,AUTR_INV_SAL,0,2014-03-31,PT,17.9
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2014,2013,AUTR_SAL_GFA,0,2014-03-31,PT,254.7
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2014,2013,AUTR_SAL_TNA,0,2014-03-31,PT,82.5
RBI:FIN_RATIOS_PVT_RN(1.0),N_A,AFY,CURR_YR,2014,2013,AUTR_TR_SAL,0,2014-03-31,PT,17.3
