DATAFLOW,AUDST,COMP_COUNT,FREQ,IND_CLASF_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_TO_PREV,2012,2011,PPAR_GP_TNA,0,2012-03-31,PT,7.7
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_TO_PREV,2012,2011,PPAR_OD_TO_OPC,0,2012-03-31,PT,5.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_TO_PREV,2012,2011,PPAR_PAT_TNW,0,2012-03-31,PT,9.3
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_TO_PREV,2012,2011,PPAR_PR_PAT,0,2012-03-31,PT,79.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_TO_PREV,2012,2011,PPAR_TP_PBT,0,2012-03-31,PT,29.0
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,AUTR_EXP_SAL,0,2012-03-31,PT,10.0
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,AUTR_GVA_GFA,0,2012-03-31,PT,50.3
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,AUTR_INV_SAL,0,2012-03-31,PT,17.0
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,56.8
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,AUTR_SAL_GFA,0,2012-03-31,PT,213.7
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,AUTR_SAL_TNA,0,2012-03-31,PT,100.6
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,AUTR_SD_TO_SL,0,2012-03-31,PT,17.4
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,CSR_DEB_EQT,0,2012-03-31,PT,33.1
RBI:FIN_RATIOS_PVT_IND_RN(1.0),N_A,1741,AFY,ICC_ALL_INDS,PREV_YR,2012,2011,CSR_DTE_ADJ,0,2012-03-31,PT,33.6
