DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SL_CAT_LAND_USE_INP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2015,2014,NET_SOWN_AREA,0,2015-03-31,HA,139450000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2016,2015,CONSM_FERTZ,0,2016-03-31,TN,26750000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2016,2015,CONSM_PESTC,0,2016-03-31,TN,5672000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2016,2015,GROSS_IRR_AREA,0,2016-03-31,HA,97750000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2016,2015,GROSS_SOWN_AREA,0,2016-03-31,HA,198120000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2016,2015,NET_IRR_AREA,0,2016-03-31,HA,67770000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2016,2015,NET_SOWN_AREA,0,2016-03-31,HA,138970000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2017,2016,CONSM_FERTZ,0,2017-03-31,TN,25950000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2017,2016,CONSM_PESTC,0,2017-03-31,TN,5863000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2017,2016,GROSS_IRR_AREA,0,2017-03-31,HA,99620000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2017,2016,GROSS_SOWN_AREA,0,2017-03-31,HA,201160000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2017,2016,NET_IRR_AREA,0,2017-03-31,HA,69270000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2017,2016,NET_SOWN_AREA,0,2017-03-31,HA,139000000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2018,2017,CONSM_FERTZ,0,2018-03-31,TN,26590000
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2018,2017,CONSM_PESTC,0,2018-03-31,TN,6341000.0
RBI:PATT_LU_UAII_RN(1.0),N_A,AFY,2018,2017,GROSS_IRR_AREA,0,2018-03-31,HA,101470000
