DATAFLOW,AUDST,BASE_PER,BASE_WEIGHT,CLASS_PROD_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.41,NFG_TOBB,AFY,2016,2015,2016-03-31,IX,170.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2016,2015,2016-03-31,IX,126.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2017,2016,2017-03-31,IX,132.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2017,2016,2017-03-31,IX,131.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,41.73,FG_CEREALS,AFY,2017,2016,2017-03-31,IX,123.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,6.86,FG_CE_CC,AFY,2017,2016,2017-03-31,IX,118.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,16.89,FG_CE_RI,AFY,2017,2016,2017-03-31,IX,116.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,17.99,FG_CE_WH,AFY,2017,2016,2017-03-31,IX,132.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,8.92,FG_PL_PULSES,AFY,2017,2016,2017-03-31,IX,165.5
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_CFF,AFY,2017,2016,2017-03-31,IX,113.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.19,NFG_CNUT,AFY,2017,2016,2017-03-31,IX,158.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.41,NFG_COTTON,AFY,2017,2016,2017-03-31,IX,145.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_GUARS,AFY,2017,2016,2017-03-31,IX,138.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.66,NFG_JUTE,AFY,2017,2016,2017-03-31,IX,102.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,13.25,NFG_OILSEEDS,AFY,2017,2016,2017-03-31,IX,111.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.11,NFG_OS_GRDNT,AFY,2017,2016,2017-03-31,IX,101.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,3.6,NFG_OS_RNM,AFY,2017,2016,2017-03-31,IX,111.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.47,NFG_OS_SESM,AFY,2017,2016,2017-03-31,IX,111.1
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.87,NFG_RBBR,AFY,2017,2016,2017-03-31,IX,83.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,9.89,NFG_SGRCN,AFY,2017,2016,2017-03-31,IX,93.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.28,NFG_TEA,AFY,2017,2016,2017-03-31,IX,128.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.41,NFG_TOBB,AFY,2017,2016,2017-03-31,IX,171.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,49.34,NON_FDGRAINS,AFY,2017,2016,2017-03-31,IX,134.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,100.0,ALL_CRPS,AFY,2018,2017,2018-03-31,IX,139.4
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,50.66,FDGRAINS,AFY,2018,2017,2018-03-31,IX,136.8
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,41.73,FG_CEREALS,AFY,2018,2017,2018-03-31,IX,127.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,6.86,FG_CE_CC,AFY,2018,2017,2018-03-31,IX,127.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,16.89,FG_CE_RI,AFY,2018,2017,2018-03-31,IX,120.2
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,17.99,FG_CE_WH,AFY,2018,2017,2018-03-31,IX,133.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,8.92,FG_PL_PULSES,AFY,2018,2017,2018-03-31,IX,181.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_CFF,AFY,2018,2017,2018-03-31,IX,115.0
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,1.19,NFG_CNUT,AFY,2018,2017,2018-03-31,IX,157.6
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.41,NFG_COTTON,AFY,2018,2017,2018-03-31,IX,146.9
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.62,NFG_GUARS,AFY,2018,2017,2018-03-31,IX,121.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,0.66,NFG_JUTE,AFY,2018,2017,2018-03-31,IX,94.3
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,13.25,NFG_OILSEEDS,AFY,2018,2017,2018-03-31,IX,114.7
RBI:AGR_INDEX_MJR_CRPS_RN(1.0),N_A,BY_TE_2007_08,4.11,NFG_OS_GRDNT,AFY,2018,2017,2018-03-31,IX,125.9
