DATAFLOW,AUDST,CLS_OF_CRPS,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2012,2011,N_A,0,2012-03-31,TN,94797000
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2012,2011,N_A,0,2012-03-31,TN,39966400
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2012,2011,N_A,0,2012-03-31,TN,435703970
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2011,2010,N_A,0,2011-03-31,TN,31813380
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2011,2010,N_A,0,2011-03-31,TN,89314800
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2011,2010,N_A,0,2011-03-31,TN,342101500
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2011,2010,N_A,0,2011-03-31,TN,10619170
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2011,2010,N_A,0,2011-03-31,TN,41142500
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2011,2010,N_A,0,2011-03-31,TN,234962500
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2011,2010,N_A,0,2011-03-31,TN,417384050
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2011,2010,N_A,0,2011-03-31,TN,32850000
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2011,2010,N_A,0,2011-03-31,TN,17754600
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2011,2010,N_A,0,2011-03-31,TN,86750600
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2010,2009,N_A,0,2010-03-31,TN,14652900
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2010,2009,N_A,0,2010-03-31,TN,33542600
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2010,2009,N_A,0,2010-03-31,TN,24875510
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2010,2009,N_A,0,2010-03-31,TN,24021800
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2010,2009,N_A,0,2010-03-31,TN,80709900
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2010,2009,N_A,0,2010-03-31,TN,292052300
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2010,2009,N_A,0,2010-03-31,TN,217875600
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2010,2009,N_A,0,2010-03-31,TN,11817410
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2010,2009,N_A,0,2010-03-31,TN,352767020
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2010,2009,N_A,0,2010-03-31,TN,88969900
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2009,2008,N_A,0,2009-03-31,TN,27716450
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2009,2008,N_A,0,2009-03-31,TN,40018900
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2009,2008,N_A,0,2009-03-31,TN,99051000
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2009,2008,N_A,0,2009-03-31,TN,80603900
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2009,2008,N_A,0,2009-03-31,TN,22276200
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2009,2008,N_A,0,2009-03-31,TN,234231200
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2009,2008,N_A,0,2009-03-31,TN,10365300
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2009,2008,N_A,0,2009-03-31,TN,14557400
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2009,2008,N_A,0,2009-03-31,TN,284864000
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2009,2008,N_A,0,2009-03-31,TN,345221950
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2008,2007,N_A,0,2008-03-31,TN,414801300
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2008,2007,N_A,0,2008-03-31,TN,230538700
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2008,2007,N_A,0,2008-03-31,TN,40734400
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2008,2007,N_A,0,2008-03-31,TN,11210500
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2008,2007,N_A,0,2008-03-31,TN,78492900
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2008,2007,N_A,0,2008-03-31,TN,14752400
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2008,2007,N_A,0,2008-03-31,TN,29750900
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2008,2007,N_A,0,2008-03-31,TN,25883900
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2008,2007,N_A,0,2008-03-31,TN,96559000
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2008,2007,N_A,0,2008-03-31,TN,347956000
RBI:AGR_PROD_ST_RN(1.0),N_A,OILSDS,AFY,2007,2006,N_A,0,2007-03-31,TN,24285800
RBI:AGR_PROD_ST_RN(1.0),N_A,COTTON,AFY,2007,2006,N_A,0,2007-03-31,TN,22631500
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2007,2006,N_A,0,2007-03-31,TN,14188500
RBI:AGR_PROD_ST_RN(1.0),N_A,RJNM,AFY,2007,2006,N_A,0,2007-03-31,TN,11273000
RBI:AGR_PROD_ST_RN(1.0),N_A,MJR_COM_CRPS,AFY,2007,2006,N_A,0,2007-03-31,TN,413550100
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2007,2006,N_A,0,2007-03-31,TN,217027400
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2007,2006,N_A,0,2007-03-31,TN,355359800
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2007,2006,N_A,0,2007-03-31,TN,93206200
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2007,2006,N_A,0,2007-03-31,TN,33904800
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2007,2006,N_A,0,2007-03-31,TN,75727900
RBI:AGR_PROD_ST_RN(1.0),N_A,SGRCN,AFY,2006,2005,N_A,0,2006-03-31,TN,281008600
RBI:AGR_PROD_ST_RN(1.0),N_A,RI,AFY,2006,2005,N_A,0,2006-03-31,TN,91651400
RBI:AGR_PROD_ST_RN(1.0),N_A,WH,AFY,2006,2005,N_A,0,2006-03-31,TN,69274000
RBI:AGR_PROD_ST_RN(1.0),N_A,PUL,AFY,2006,2005,N_A,0,2006-03-31,TN,13375600
RBI:AGR_PROD_ST_RN(1.0),N_A,CC,AFY,2006,2005,N_A,0,2006-03-31,TN,34051800
RBI:AGR_PROD_ST_RN(1.0),N_A,FDGRNS,AFY,2006,2005,N_A,0,2006-03-31,TN,208352800
