DATAFLOW,AUDST,DIS_OF_COM,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2000,1999,0,2000-03-31,TN,28910000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2000,1999,0,2000-03-31,TN,14140000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2000,1999,0,2000-03-31,TN,10630000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2000,1999,0,2000-03-31,TN,13190000
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2001,2000,0,2001-03-31,TN,18210000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2001,2000,0,2001-03-31,TN,37640000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2001,2000,0,2001-03-31,TN,21280000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2001,2000,0,2001-03-31,TN,10420000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2001,2000,0,2001-03-31,TN,23190000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2001,2000,0,2001-03-31,TN,44980000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2001,2000,0,2001-03-31,TN,16360000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2001,2000,0,2001-03-31,TN,7790000.0
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2001,2000,0,2001-03-31,TN,21500000
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2002,2001,0,2002-03-31,TN,31310000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2002,2001,0,2002-03-31,TN,42760000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2002,2001,0,2002-03-31,TN,22130000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2002,2001,0,2002-03-31,TN,15320000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2002,2001,0,2002-03-31,TN,24910000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2002,2001,0,2002-03-31,TN,51020000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WH,AFY,2002,2001,0,2002-03-31,TN,20630000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHE,AFY,2002,2001,0,2002-03-31,TN,15990000
RBI:PDS_AGR_PROD_RN(1.0),N_A,WHEAT,AFY,2002,2001,0,2002-03-31,TN,26040000
RBI:PDS_AGR_PROD_RN(1.0),N_A,OFFTAKE,AFY,2003,2002,0,2003-03-31,TN,49840000
RBI:PDS_AGR_PROD_RN(1.0),N_A,PROCUREMENT,AFY,2003,2002,0,2003-03-31,TN,35440000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RI,AFY,2003,2002,0,2003-03-31,TN,16410000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RIC,AFY,2003,2002,0,2003-03-31,TN,24850000
RBI:PDS_AGR_PROD_RN(1.0),N_A,RICE,AFY,2003,2002,0,2003-03-31,TN,17160000
RBI:PDS_AGR_PROD_RN(1.0),N_A,STOCKS,AFY,2003,2002,0,2003-03-31,TN,32810000
