DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-08-31,INR,1457212100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-07-31,INR,1230079100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-06-30,INR,1113970300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-05-31,INR,868019900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2006,2005,0,2005-04-30,INR,827183200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2005-03-31,INR,1130550900000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2005-02-28,INR,999895000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2005-01-31,INR,997314400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-12-31,INR,1155931000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-11-30,INR,820352700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-10-31,INR,756976100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-09-30,INR,885080500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-08-31,INR,868557200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-07-31,INR,938361300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-06-30,INR,848984700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-05-31,INR,989199300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2005,2004,0,2004-04-30,INR,1009511700000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2004-03-31,INR,1048765300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2004-02-29,INR,1087180600000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2004-01-31,INR,1342687200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-12-31,INR,1103726400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-11-30,INR,928857100000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-10-31,INR,1155953200000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-09-30,INR,1033455000000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-08-31,INR,853465800000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-07-31,INR,788776300000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-06-30,INR,615853500000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-05-31,INR,546901400000
RBI:TURNO_NSE_RN(1.0),N_A,M,2004,2003,0,2003-04-30,INR,489713100000
