DATAFLOW,AUDST,BASE_PER,CENTER_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,KOLKATA,QFY,2011,2010,2010-12-31,IX,161.2
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,LUCKNOW,QFY,2011,2010,2010-12-31,IX,136.9
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,MUMBAI,QFY,2011,2010,2010-12-31,IX,159.3
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AHMEDABAD,QFY,2011,2010,2010-12-31,IX,101.990309768854
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,AL_INDIA,QFY,2011,2010,2010-12-31,IX,99.404513738963
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,BANGALORE,QFY,2011,2010,2010-12-31,IX,97.935658488187
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,CHENNAI,QFY,2011,2010,2010-12-31,IX,94.647710622995
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,DELHI,QFY,2011,2010,2010-12-31,IX,92.10516823302
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,JAIPUR,QFY,2011,2010,2010-12-31,IX,103.574957552392
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KANPUR,QFY,2011,2010,2010-12-31,IX,103.686822384866
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOCHI,QFY,2011,2010,2010-12-31,IX,113.849678801077
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,KOLKATA,QFY,2011,2010,2010-12-31,IX,106.617769127382
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,LUCKNOW,QFY,2011,2010,2010-12-31,IX,104.745752022526
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2010-11,MUMBAI,QFY,2011,2010,2010-12-31,IX,100.879902268232
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,AHMEDABAD,QFY,2011,2010,2011-03-31,IX,128.7
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,BANGALORE,QFY,2011,2010,2011-03-31,IX,113.6
RBI:HOUSE_PRICE_INDEX_RN(1.0),N_A,BY_2008_09,CHENNAI,QFY,2011,2010,2011-03-31,IX,106.8
