DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2009,2008,0,2009-03-31,RUP_PER_KG,20059.438333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2010,2009,0,2010-03-31,RUP_PER_10_GMS,15756.0925
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2010,2009,0,2010-03-31,RUP_PER_KG,25320.6925
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2010,2009,0,2010-03-31,DOL_PER_TROY_OZ,1023.028333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2010,2009,0,2010-03-31,RUP_PER_10_GMS,15569.875
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2010,2009,0,2010-03-31,CTNS_PER_TROY_OZ,1576.298333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2010,2009,0,2010-03-31,RUP_PER_KG,23980.038333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2011,2010,0,2011-03-31,RUP_PER_10_GMS,19227.084167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2011,2010,0,2011-03-31,RUP_PER_KG,37289.539167
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2011,2010,0,2011-03-31,DOL_PER_TROY_OZ,1293.533333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2011,2010,0,2011-03-31,RUP_PER_10_GMS,18937.483333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2011,2010,0,2011-03-31,CTNS_PER_TROY_OZ,2391.155
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2011,2010,0,2011-03-31,RUP_PER_KG,35050.9325
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2012,2011,0,2012-03-31,RUP_PER_10_GMS,25722.423333
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2012,2011,0,2012-03-31,RUP_PER_KG,57315.8675
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2012,2011,0,2012-03-31,DOL_PER_TROY_OZ,1644.865833
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC2,GOLD,2012,2011,0,2012-03-31,RUP_PER_10_GMS,25394.0325
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2012,2011,0,2012-03-31,CTNS_PER_TROY_OZ,3545.6425
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC3,SILVER,2012,2011,0,2012-03-31,RUP_PER_KG,54320.685331
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,GOLD,2013,2012,0,2013-03-31,RUP_PER_10_GMS,30163.9325
RBI:METAL_PRICE_A_RN(1.0),N_A,AFY,AVG,PRC1,SILVER,2013,2012,0,2013-03-31,RUP_PER_KG,57602.304167
