DATAFLOW,AUDST,BASE_PER,COVERAGE_GEO_RN,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2009,2008,IW_FGB,2009-03-31,PT,153.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2010,2009,AL,2010-03-31,PT,13.9
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2010,2009,AL,2010-03-31,PT,513.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2010,2009,IW,2010-03-31,PT,12.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2010,2009,IW_FG,2010-03-31,PT,15.22644
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2010,2009,IW,2010-03-31,PT,163.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2010,2009,IW_FGB,2010-03-31,PT,176.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANL_VAR,2011,2010,AL,2011-03-31,PT,10.00487
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_1986-87,N_A,AFY,ANNUAL_AVE,2011,2010,AL,2011-03-31,PT,564.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2011,2010,IW,2011-03-31,PT,10.4
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANL_VAR,2011,2010,IW_FG,2011-03-31,PT,9.89883
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2011,2010,IW,2011-03-31,PT,180.0
RBI:CPI_ANN_AVG_VAR_RN(1.0),N_A,BY_2001,N_A,AFY,ANNUAL_AVE,2011,2010,IW_FGB,2011-03-31,PT,194.0
