DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,STATE_CODE,TYPE_LABOU_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MANI,RL,2016-03-31,IX,810.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MEG,AL,2016-03-31,IX,827.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MEG,RL,2016-03-31,IX,829.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MP,AL,2016-03-31,IX,764.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,MP,RL,2016-03-31,IX,787.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,OD,AL,2016-03-31,IX,743.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,OD,RL,2016-03-31,IX,744.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,PUN,AL,2016-03-31,IX,890.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,PUN,RL,2016-03-31,IX,891.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,RAJA,AL,2016-03-31,IX,915.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,RAJA,RL,2016-03-31,IX,900.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TN,AL,2016-03-31,IX,899.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TN,RL,2016-03-31,IX,891.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TRI,AL,2016-03-31,IX,772.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,TRI,RL,2016-03-31,IX,768.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,UP,AL,2016-03-31,IX,818.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,UP,RL,2016-03-31,IX,815.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,WB,AL,2016-03-31,IX,754.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2016,2015,WB,RL,2016-03-31,IX,769.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,ALL_INDIA,AL,2016-04-30,IX,848.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,ALL_INDIA,RL,2016-04-30,IX,854.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,ANP,AL,2016-04-30,IX,932.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,ANP,RL,2016-04-30,IX,929.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,ASM,AL,2016-04-30,IX,785.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,ASM,RL,2016-04-30,IX,796.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,BIH,AL,2016-04-30,IX,717.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,BIH,RL,2016-04-30,IX,722.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,GUJ,AL,2016-04-30,IX,884.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,GUJ,RL,2016-04-30,IX,885.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,HAR,AL,2016-04-30,IX,942.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,HAR,RL,2016-04-30,IX,941.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,HP,AL,2016-04-30,IX,692.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,HP,RL,2016-04-30,IX,730.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,JNK,AL,2016-04-30,IX,803.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,JNK,RL,2016-04-30,IX,797.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,KAR,AL,2016-04-30,IX,962.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,KAR,RL,2016-04-30,IX,960.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,KER,AL,2016-04-30,IX,882.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,KER,RL,2016-04-30,IX,902.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MAH,AL,2016-04-30,IX,921.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MAH,RL,2016-04-30,IX,916.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MANI,AL,2016-04-30,IX,809.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MANI,RL,2016-04-30,IX,812.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MEG,AL,2016-04-30,IX,831.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MEG,RL,2016-04-30,IX,833.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MP,AL,2016-04-30,IX,770.0
RBI:CPI_ALRL_ST_RN(1.0),N_A,BY_JULY_1986_JUNE_1987,M,2017,2016,MP,RL,2016-04-30,IX,792.0
