DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,TYPE_CPI_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-11-30,PT,3.095975232198
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2003-12-31,PT,3.549060542797
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2003-12-31,PT,3.719008264463
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2003-12-31,PT,3.950617283951
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2003-12-31,PT,3.426791277259
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2004-01-31,PT,4.64135021097
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2004-01-31,PT,4.347826086957
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2004-01-31,PT,4.433497536946
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2004-01-31,PT,3.75
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2004-02-29,PT,4.210526315789
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2004-02-29,PT,4.132231404959
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2004-02-29,PT,3.921568627451
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2004-02-29,PT,3.105590062112
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_FGRP,2004-03-31,PT,3.131524008351
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2004,2003,IW_GI,2004-03-31,PT,3.490759753593
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2004,2003,UNME_GI,2004-03-31,PT,3.414634146341
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2004,2003,AL_AIGI,2004-03-31,PT,2.469135802469
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-04-30,PT,1.229508196721
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-04-30,PT,2.231237322515
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-04-30,PT,2.905569007264
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-04-30,PT,1.533742331288
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-05-31,PT,1.836734693878
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-05-31,PT,2.834008097166
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-05-31,PT,2.89156626506
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-05-31,PT,1.834862385321
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-06-30,PT,2.024291497976
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-06-30,PT,3.018108651911
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-06-30,PT,3.357314148681
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-06-30,PT,1.818181818182
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-07-31,PT,1.202404809619
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-07-31,PT,3.193612774451
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-07-31,PT,3.087885985748
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-07-31,PT,2.114803625378
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-08-31,PT,3.441295546559
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-08-31,PT,4.609218436874
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-08-31,PT,4.047619047619
RBI:CPI_AV_RN(1.0),N_A,BY_1986-87,M,ANL_VAR,2005,2004,AL_AIGI,2004-08-31,PT,3.021148036254
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_FGRP,2004-09-30,PT,3.853955375254
RBI:CPI_AV_RN(1.0),N_A,BY_1982,M,ANL_VAR,2005,2004,IW_GI,2004-09-30,PT,4.809619238477
RBI:CPI_AV_RN(1.0),N_A,BY_1984-85,M,ANL_VAR,2005,2004,UNME_GI,2004-09-30,PT,4.047619047619
