DATAFLOW,AUDST,FREQ,MEASURE_RN,PICE_REF_CITY_RN,PREC_METL_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-08-01,RUP_PER_KG,38637.33
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-08-01,DOL_PER_TROY_OZ,1282.02
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-08-01,RUP_PER_10_GMS,26314.45
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-08-01,CTNS_PER_TROY_OZ,1691.5434783
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-08-01,RUP_PER_KG,34788.8132112
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-09-01,RUP_PER_10_GMS,29899.29
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-09-01,RUP_PER_KG,40120.0
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-09-01,DOL_PER_TROY_OZ,1316.01
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-09-01,RUP_PER_10_GMS,27240.01
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-09-01,CTNS_PER_TROY_OZ,1741.604762
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-09-01,RUP_PER_KG,36082.995466
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-10-01,RUP_PER_10_GMS,29505.3
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-10-01,RUP_PER_KG,39385.05
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-10-01,DOL_PER_TROY_OZ,1280.1
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-10-01,RUP_PER_10_GMS,26768.87
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-10-01,CTNS_PER_TROY_OZ,1691.331818
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-10-01,RUP_PER_KG,35389.627809
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-11-01,RUP_PER_10_GMS,29399.09
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-11-01,RUP_PER_KG,39332.27
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-11-01,DOL_PER_TROY_OZ,1282.74
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-11-01,RUP_PER_10_GMS,26739.8
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-11-01,CTNS_PER_TROY_OZ,1697.05
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-11-01,RUP_PER_KG,35389.965945
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2017-12-01,RUP_PER_10_GMS,28763.42
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2017-12-01,RUP_PER_KG,37270.26
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-12-01,DOL_PER_TROY_OZ,1264.57
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2017-12-01,RUP_PER_10_GMS,26085.49
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-12-01,CTNS_PER_TROY_OZ,1619.2190476
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2017-12-01,RUP_PER_KG,33443.9749551
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2018-01-01,RUP_PER_10_GMS,29854.32
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2018-01-01,RUP_PER_KG,38931.36
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2018-01-01,DOL_PER_TROY_OZ,1332.24
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2018-01-01,RUP_PER_10_GMS,27223.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2018-01-01,CTNS_PER_TROY_OZ,1715.4590909
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2018-01-01,RUP_PER_KG,35097.8418029
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2018-02-01,RUP_PER_10_GMS,30391.32
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2018-02-01,RUP_PER_KG,38453.95
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2018-02-01,DOL_PER_TROY_OZ,1332.65
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2018-02-01,RUP_PER_10_GMS,27546.59
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2018-02-01,CTNS_PER_TROY_OZ,1660.42
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2018-02-01,RUP_PER_KG,34365.164465
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2018,2017,0,2018-03-01,RUP_PER_10_GMS,30419.72
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2018,2017,0,2018-03-01,RUP_PER_KG,38332.22
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2018-03-01,DOL_PER_TROY_OZ,1325.11
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2018,2017,0,2018-03-01,RUP_PER_10_GMS,27694.44
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2018-03-01,CTNS_PER_TROY_OZ,1645.2952381
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC3,SILVER,2018,2017,0,2018-03-01,RUP_PER_KG,34394.6395155
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,GOLD,2019,2018,0,2018-04-01,RUP_PER_10_GMS,30985.5
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC1,SILVER,2019,2018,0,2018-04-01,RUP_PER_KG,38913.25
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2019,2018,0,2018-04-01,DOL_PER_TROY_OZ,1334.56
RBI:METAL_PRICE_RN(1.0),N_A,M,AVG,PRC2,GOLD,2019,2018,0,2018-04-01,RUP_PER_10_GMS,28188.63
