DATAFLOW,AUDST,BASE_PER,COMD_ITEM,COVERAGE_GEO_RN,FREQ,REPYEAREND,REPYEARSTART,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SP,RUR,M,2016,2015,2016-02-29,IX,130.6
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_SP,URB,M,2016,2015,2016-02-29,IX,139.7
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_VE,ALL_INDIA,M,2016,2015,2016-02-29,IX,130.3
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_VE,RUR,M,2016,2015,2016-02-29,IX,130.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FB_VE,URB,M,2016,2015,2016-02-29,IX,129.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FL,ALL_INDIA,M,2016,2015,2016-02-29,IX,123.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FL,RUR,M,2016,2015,2016-02-29,IX,127.5
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_FL,URB,M,2016,2015,2016-02-29,IX,116.0
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_HO,ALL_INDIA,M,2016,2015,2016-02-29,IX,124.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_HO,URB,M,2016,2015,2016-02-29,IX,124.4
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS,ALL_INDIA,M,2016,2015,2016-02-29,IX,119.1
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS,RUR,M,2016,2015,2016-02-29,IX,120.9
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS,URB,M,2016,2015,2016-02-29,IX,117.2
RBI:CPI_RUC_RN(1.0),N_A,BY_2012,C_GIAG_MS_ED,ALL_INDIA,M,2016,2015,2016-02-29,IX,126.6
