DATAFLOW,AUDST,BASE_PER,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,WPI_COM_CLS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1993,1992,WPI010102,1993-03-31,IX,-0.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1993,1992,WPI0102,1993-03-31,IX,14.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1993,1992,WPI0103,1993-03-31,IX,10.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1993,1992,WPI01,1993-03-31,IX,228.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1993,1992,WPI0101,1993-03-31,IX,234.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1993,1992,WPI010101,1993-03-31,IX,271.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1993,1992,WPI010102,1993-03-31,IX,228.7
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1993,1992,WPI0102,1993-03-31,IX,227.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1993,1992,WPI0103,1993-03-31,IX,225.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1994,1993,WPI01,1994-03-31,IX,8.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1994,1993,WPI0101,1994-03-31,IX,6.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1994,1993,WPI010101,1994-03-31,IX,5.0
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1994,1993,WPI010102,1994-03-31,IX,8.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1994,1993,WPI0102,1994-03-31,IX,15.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANL_VAR,1994,1993,WPI0103,1994-03-31,IX,7.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1994,1993,WPI01,1994-03-31,IX,247.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1994,1993,WPI0101,1994-03-31,IX,250.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1994,1993,WPI010101,1994-03-31,IX,284.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1994,1993,WPI010102,1994-03-31,IX,249.1
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1994,1993,WPI0102,1994-03-31,IX,262.4
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1981_82,AFY,ANNUAL_AVE,1994,1993,WPI0103,1994-03-31,IX,243.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1995,1994,WPI01,1995-03-31,IX,12.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1995,1994,WPI0101,1995-03-31,IX,15.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1995,1994,WPI010101,1995-03-31,IX,12.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1995,1994,WPI010102,1995-03-31,IX,24.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1995,1994,WPI0102,1995-03-31,IX,8.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1995,1994,WPI0103,1995-03-31,IX,12.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1995,1994,WPI01,1995-03-31,IX,112.6
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1995,1994,WPI0101,1995-03-31,IX,115.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1995,1994,WPI010101,1995-03-31,IX,112.8
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1995,1994,WPI010102,1995-03-31,IX,124.2
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1995,1994,WPI0102,1995-03-31,IX,108.9
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANNUAL_AVE,1995,1994,WPI0103,1995-03-31,IX,112.3
RBI:WHOLE_PRICE_INDEX_AVG_VAR_RN(1.0),N_A,BY_1993_94,AFY,ANL_VAR,1996,1995,WPI01,1996-03-31,IX,8.0
