DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-10-31,INR,87.8361
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-09-30,INR,83.0475
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-09-30,INR,103.0288
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-09-30,INR,88.7431
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-09-30,INR,0.5626
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-08-31,INR,90.3695
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-08-31,INR,82.7854
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-08-31,INR,0.5723
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-08-31,INR,105.2534
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-07-31,INR,0.5826
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-07-31,INR,105.8135
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-07-31,INR,82.1519
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-07-31,INR,90.8398
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-06-30,INR,89.0688
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-06-30,INR,0.5826
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-06-30,INR,103.806
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-06-30,INR,82.2337
RBI:AVG_FOR_RAT_RN(1.0),N_A,GBP,M,2024,2023,0,2023-05-31,INR,102.7272
RBI:AVG_FOR_RAT_RN(1.0),N_A,USD,M,2024,2023,0,2023-05-31,INR,82.3433
RBI:AVG_FOR_RAT_RN(1.0),N_A,JPY,M,2024,2023,0,2023-05-31,INR,0.6004
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-05-31,INR,89.4751
RBI:AVG_FOR_RAT_RN(1.0),N_A,EUR,M,2024,2023,0,2023-04-30,INR,89.872
