DATAFLOW,AUDST,CURRENCY,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1999,1998,0,1998-12-31,INR,41.2677
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1998,1997,0,1997-12-31,INR,36.3196
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1998,1997,0,1997-12-31,INR,49.9584
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1998,1997,0,1997-12-31,INR,30.048
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1998,1997,0,1997-12-31,INR,59.5289
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1998,1997,0,1997-12-31,INR,20.9857
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1997,1996,0,1996-12-31,INR,23.5666
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1997,1996,0,1996-12-31,INR,55.3482
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1997,1996,0,1996-12-31,INR,32.5975
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1997,1996,0,1996-12-31,INR,51.435
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1997,1996,0,1996-12-31,INR,35.4294
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1996,1995,0,1995-12-31,INR,32.4232
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1996,1995,0,1995-12-31,INR,49.1803
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1996,1995,0,1995-12-31,INR,34.6154
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1996,1995,0,1995-12-31,INR,51.168
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1996,1995,0,1995-12-31,INR,22.6558
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1995,1994,0,1994-12-31,INR,44.9296
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1995,1994,0,1994-12-31,INR,19.3729
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1995,1994,0,1994-12-31,INR,30.7424
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1995,1994,0,1994-12-31,INR,31.3742
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1995,1994,0,1994-12-31,INR,48.0543
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1994,1993,0,1993-12-31,INR,28.3625
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1994,1993,0,1993-12-31,INR,42.6318
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1994,1993,0,1993-12-31,INR,47.2165
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1994,1993,0,1993-12-31,INR,19.0285
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1994,1993,0,1993-12-31,INR,31.4458
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1993,1992,0,1992-12-31,INR,20.48
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1993,1992,0,1992-12-31,INR,25.9206
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1993,1992,0,1992-12-31,INR,45.7104
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1993,1992,0,1992-12-31,INR,16.6354
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1993,1992,0,1992-12-31,INR,36.5094
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1992,1991,0,1991-12-31,INR,31.095
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1992,1991,0,1991-12-31,INR,22.689
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1992,1991,0,1991-12-31,INR,39.9941
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1992,1991,0,1991-12-31,INR,16.92
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1992,1991,0,1991-12-31,INR,13.6991
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1991,1990,0,1990-12-31,INR,12.16
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1991,1990,0,1990-12-31,INR,23.7922
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1991,1990,0,1990-12-31,INR,17.4992
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1991,1990,0,1990-12-31,INR,10.8694
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1991,1990,0,1990-12-31,INR,31.2835
RBI:FOREX_RATE_A_RN(1.0),N_A,USD,AFY,1990,1989,0,1989-12-31,INR,16.2238
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1990,1989,0,1989-12-31,INR,26.5515
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1990,1989,0,1989-12-31,INR,20.7906
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1990,1989,0,1989-12-31,INR,8.6438
RBI:FOREX_RATE_A_RN(1.0),N_A,JPY,AFY,1990,1989,0,1989-12-31,INR,11.76
RBI:FOREX_RATE_A_RN(1.0),N_A,EUR,AFY,1989,1988,0,1988-12-31,INR,7.9297
RBI:FOREX_RATE_A_RN(1.0),N_A,SDR,AFY,1989,1988,0,1988-12-31,INR,18.6994
RBI:FOREX_RATE_A_RN(1.0),N_A,GBP,AFY,1989,1988,0,1988-12-31,INR,24.7729
