DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,REPYEAREND,REPYEARSTART,SMALL_SAVINGS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1997,1996,SSV3,0,1997-03-31,INR,5040000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1997,1996,TTL_RECEIPTS,0,1997-03-31,INR,336120000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1998,1997,SSV1,0,1998-03-31,INR,382740000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1998,1997,SSV2,0,1998-03-31,INR,860650000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1998,1997,SSV3,0,1998-03-31,INR,24160000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1998,1997,TTL_OUTSTNDINGS,0,1998-03-31,INR,1267550000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1998,1997,SSV1,0,1998-03-31,INR,226220000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1998,1997,SSV2,0,1998-03-31,INR,236680000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1998,1997,SSV3,0,1998-03-31,INR,6450000000
RBI:SMAL_SAV_RN(1.0),RECEIPTS,N_A,AFY,1998,1997,TTL_RECEIPTS,0,1998-03-31,INR,469350000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1999,1998,SSV1,0,1999-03-31,INR,471240000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1999,1998,SSV2,0,1999-03-31,INR,1048329999999.9999
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1999,1998,SSV3,0,1999-03-31,INR,33390000000
RBI:SMAL_SAV_RN(1.0),OUTSTNDING,N_A,AFY,1999,1998,TTL_OUTSTNDINGS,0,1999-03-31,INR,1552960000000
