DATAFLOW,AUDST,FREQ,PUB_BORWING_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2005,2004,0,2005-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2005,2004,0,2005-03-31,INR,2650270000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2005,2004,0,2005-03-31,INR,350830000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2005,2004,0,2005-03-31,INR,631040000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2005,2004,0,2005-03-31,INR,145720000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2004,2003,0,2004-03-31,INR,-51920000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2004,2003,0,2004-03-31,INR,714920000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2004,2003,0,2004-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2004,2003,0,2004-03-31,INR,-748820000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2004,2003,0,2004-03-31,INR,998430000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2004,2003,0,2004-03-31,INR,1097400000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2004,2003,0,2004-03-31,INR,2333510000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2004,2003,0,2004-03-31,INR,323500000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2004,2003,0,2004-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2003,2002,0,2003-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2003,2002,0,2003-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2003,2002,0,2003-03-31,INR,326760000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2003,2002,0,2003-03-31,INR,1035950000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2003,2002,0,2003-03-31,INR,465430000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2003,2002,0,2003-03-31,INR,1317600000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2003,2002,0,2003-03-31,INR,-97940000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2003,2002,0,2003-03-31,INR,-878390000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2003,2002,0,2003-03-31,INR,2169410000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2002,2001,0,2002-03-31,INR,1982250000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR4,2002,2001,0,2002-03-31,INR,442520000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR6,2002,2001,0,2002-03-31,INR,76330000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR2,2002,2001,0,2002-03-31,INR,374030000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2002,2001,0,2002-03-31,INR,923360000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2002,2001,0,2002-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2002,2001,0,2002-03-31,INR,-888300000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR3,2002,2001,0,2002-03-31,INR,1054310000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR7,2002,2001,0,2002-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR1,2001,2000,0,2001-03-31,INR,-712060000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR8,2001,2000,0,2001-03-31,INR,917020000000
RBI:PUB_BOR_RN(1.0),N_A,AFY,PBOR5,2001,2000,0,2001-03-31,INR,0.0
RBI:PUB_BOR_RN(1.0),N_A,AFY,TTL_RESOURCES,2001,2000,0,2001-03-31,INR,1851250000000
