DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE12,0,2003-03-31,INR,2427490000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE1102,0,2003-03-31,INR,220070000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE1,0,2003-03-31,INR,4269460000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE1101,0,2003-03-31,INR,1038200000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2003,2002,CE11,0,2003-03-31,INR,1841970000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE12,0,2002-03-31,INR,2154560000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE11,0,2002-03-31,INR,1593640000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE1101,0,2002-03-31,INR,808680000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE1102,0,2002-03-31,INR,151300000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2002,2001,CE1,0,2002-03-31,INR,3748200000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE11,0,2001-03-31,INR,1393860000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE1101,0,2001-03-31,INR,717310000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE12,0,2001-03-31,INR,1974700000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE1,0,2001-03-31,INR,3368560000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2001,2000,CE1102,0,2001-03-31,INR,176790000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2000,1999,CE11,0,2000-03-31,INR,1291510000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2000,1999,CE1101,0,2000-03-31,INR,609560000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2000,1999,CE1102,0,2000-03-31,INR,172210000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2000,1999,CE1,0,2000-03-31,INR,3070790000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,2000,1999,CE12,0,2000-03-31,INR,1779280000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1999,1998,CE12,0,1999-03-31,INR,1502980000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1999,1998,CE1,0,1999-03-31,INR,2875550000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1999,1998,CE1101,0,1999-03-31,INR,543750000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1999,1998,CE11,0,1999-03-31,INR,1372570000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1999,1998,CE1102,0,1999-03-31,INR,146560000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1998,1997,CE1101,0,1998-03-31,INR,442460000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1998,1997,CE1102,0,1998-03-31,INR,118450000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1998,1997,CE11,0,1998-03-31,INR,1109940000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1998,1997,CE12,0,1998-03-31,INR,1278200000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1998,1997,CE1,0,1998-03-31,INR,2388140000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1997,1996,CE11,0,1997-03-31,INR,941970000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1997,1996,CE1101,0,1997-03-31,INR,372530000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1997,1996,CE1,0,1997-03-31,INR,2064140000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1997,1996,CE12,0,1997-03-31,INR,1122170000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1997,1996,CE1102,0,1997-03-31,INR,96720000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1996,1995,CE1101,0,1996-03-31,INR,350290000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1996,1995,CE1102,0,1996-03-31,INR,76550000000
RBI:CG_DEV_NDEV_EXP_RN(1.0),N_A,AFY,1996,1995,CE11,0,1996-03-31,INR,844270000000
