DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2013-03-31,INR,-167620000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2013-02-28,INR,416780000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2013-01-31,INR,609820000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-12-31,INR,-82270000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-11-30,INR,450060000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-10-31,INR,310160000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-09-30,INR,-6340000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-08-31,INR,731060000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-07-31,INR,739720000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-06-30,INR,488730000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-05-31,INR,743910000000
RBI:CG_DEFM_RN(1.0),N_A,M,2013,2012,0,2012-04-30,INR,671960000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2012-03-31,INR,224190000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2012-02-29,INR,586380000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2012-01-31,INR,539210000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-12-31,INR,276430000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-11-30,INR,463600000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-10-31,INR,261990000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-09-30,INR,72870000000
RBI:CG_DEFM_RN(1.0),N_A,M,2012,2011,0,2011-08-31,INR,447700000000
