DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIAB_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CGL_RN(1.0),N_A,AFY,2012,2011,TTL_LIABLITIES,0,2012-03-31,INR,46700540000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL13,0,2011-03-31,INR,3046970000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL1102,0,2011-03-31,INR,703910000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL11,0,2011-03-31,INR,26671150000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL12,0,2011-03-31,INR,6805610000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL14,0,2011-03-31,INR,1287620000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TTL_LIABLITIES,0,2011-03-31,INR,40595900000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL2,0,2011-03-31,INR,2784550000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL1,0,2011-03-31,INR,37811350000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL1104,0,2011-03-31,INR,4602120000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL1101,0,2011-03-31,INR,20720330000000
RBI:CGL_RN(1.0),N_A,AFY,2011,2010,TL1103,0,2011-03-31,INR,644790000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL1103,0,2010-03-31,INR,629930000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL2,0,2010-03-31,INR,2492880000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL14,0,2010-03-31,INR,1194530000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL1104,0,2010-03-31,INR,4471780000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL11,0,2010-03-31,INR,23283390000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TTL_LIABLITIES,0,2010-03-31,INR,36451650000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL1102,0,2010-03-31,INR,715490000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL1,0,2010-03-31,INR,33958770000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL1101,0,2010-03-31,INR,17466190000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL12,0,2010-03-31,INR,6206270000000
RBI:CGL_RN(1.0),N_A,AFY,2010,2009,TL13,0,2010-03-31,INR,3274570000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TTL_LIABLITIES,0,2009-03-31,INR,33001080000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL2,0,2009-03-31,INR,2639760000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL12,0,2009-03-31,INR,5535180000000
RBI:CGL_RN(1.0),N_A,AFY,2009,2008,TL11,0,2009-03-31,INR,20198410000000
