DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SECTOR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC5,0,2006-03-31,INR,78980000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC2,0,2006-03-31,INR,299510000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,TTL,0,2006-03-31,INR,2471770000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC7,0,2006-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC4,0,2006-03-31,INR,220430000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC9,0,2006-03-31,INR,1096330000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC1,0,2006-03-31,INR,125540000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC8,0,2006-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC3,0,2006-03-31,INR,263320000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2006,2005,SEC6,0,2006-03-31,INR,387660000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,TTL,0,2005-03-31,INR,2636650000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC2,0,2005-03-31,INR,209690000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC5,0,2005-03-31,INR,101130000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC7,0,2005-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC4,0,2005-03-31,INR,607290000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC3,0,2005-03-31,INR,190240000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC6,0,2005-03-31,INR,387720000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC8,0,2005-03-31,INR,0.0
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC9,0,2005-03-31,INR,1030950000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2005,2004,SEC1,0,2005-03-31,INR,109630000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,TTL,0,2004-03-31,INR,2248270000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC8,0,2004-03-31,INR,46490000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC7,0,2004-03-31,INR,130690000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC6,0,2004-03-31,INR,352670000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC5,0,2004-03-31,INR,77030000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC3,0,2004-03-31,INR,129000000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC1,0,2004-03-31,INR,87760000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC2,0,2004-03-31,INR,222690000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC4,0,2004-03-31,INR,501990000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2004,2003,SEC9,0,2004-03-31,INR,699950000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC4,0,2003-03-31,INR,447100000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC5,0,2003-03-31,INR,87760000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC8,0,2003-03-31,INR,43400000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC2,0,2003-03-31,INR,208190000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC1,0,2003-03-31,INR,76550000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,TTL,0,2003-03-31,INR,2102030000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC7,0,2003-03-31,INR,116030000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC6,0,2003-03-31,INR,352440000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC3,0,2003-03-31,INR,119650000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2003,2002,SEC9,0,2003-03-31,INR,650910000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC7,0,2002-03-31,INR,108070000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC4,0,2002-03-31,INR,371450000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,TTL,0,2002-03-31,INR,1863150000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC1,0,2002-03-31,INR,82480000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC8,0,2002-03-31,INR,44090000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC5,0,2002-03-31,INR,79420000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC3,0,2002-03-31,INR,145520000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC2,0,2002-03-31,INR,151540000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC9,0,2002-03-31,INR,581400000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2002,2001,SEC6,0,2002-03-31,INR,299180000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC3,0,2001-03-31,INR,135290000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC2,0,2001-03-31,INR,108970000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC4,0,2001-03-31,INR,408930000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC8,0,2001-03-31,INR,40550000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC9,0,2001-03-31,INR,644950000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC1,0,2001-03-31,INR,75770000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,TTL,0,2001-03-31,INR,1857370000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC6,0,2001-03-31,INR,257340000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC5,0,2001-03-31,INR,68660000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2001,2000,SEC7,0,2001-03-31,INR,116910000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC5,0,2000-03-31,INR,72480000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC7,0,2000-03-31,INR,100000000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,TTL,0,2000-03-31,INR,1606080000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC3,0,2000-03-31,INR,142100000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC8,0,2000-03-31,INR,35690000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC2,0,2000-03-31,INR,127940000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC9,0,2000-03-31,INR,461490000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC6,0,2000-03-31,INR,234630000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC1,0,2000-03-31,INR,73650000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,2000,1999,SEC4,0,2000-03-31,INR,358100000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC1,0,1999-03-31,INR,76980000000
RBI:PSPOUTLY_RN(1.0),N_A,AFY,1999,1998,SEC9,0,1999-03-31,INR,419050000000
