DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_CGRECPT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR1102,0,2020-03-31,INR,7185368800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR11,0,2020-03-31,INR,13569022800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,OTH,0,2020-03-31,INR,4340764900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR26,0,2020-03-31,INR,503043300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,TTL_RECEIPTS,0,2020-03-31,INR,26813600000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR1201,0,2020-03-31,INR,123489800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR21,0,2020-03-31,INR,4739678800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,OTHR,0,2020-03-31,INR,1943945100000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR11021,0,2020-03-31,INR,2129880700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR23,0,2020-03-31,INR,116353300000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR25,0,2020-03-31,INR,183161500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR11022,0,2020-03-31,INR,714723200000.0001
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR1101,0,2020-03-31,INR,6383654000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR1,0,2020-03-31,INR,16840590000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR22,0,2020-03-31,INR,2400000100000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,OTHE,0,2020-03-31,INR,3148077900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR11011,0,2020-03-31,INR,2982035000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR27,0,2020-03-31,INR,86823200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR12,0,2020-03-31,INR,3271567700000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2020,2019,CGR11012,0,2020-03-31,INR,3401431100000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR11012,0,2019-03-31,INR,4199530000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,OTHR,0,2019-03-31,INR,814260000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR21,0,2019-03-31,INR,4227350000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR11011,0,2019-03-31,INR,3035080000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR1201,0,2019-03-31,INR,121450000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR26,0,2019-03-31,INR,947270000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR1,0,2019-03-31,INR,15529160000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR11,0,2019-03-31,INR,13172110000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR1102,0,2019-03-31,INR,5937190000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR11021,0,2019-03-31,INR,2040210000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR25,0,2019-03-31,INR,180520000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,OTHE,0,2019-03-31,INR,2235590000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR2,0,2019-03-31,INR,7635180000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR11022,0,2019-03-31,INR,752310000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR22,0,2019-03-31,INR,1250000000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,TTL_RECEIPTS,0,2019-03-31,INR,23164340000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR27,0,2019-03-31,INR,55190000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR1101,0,2019-03-31,INR,7234920000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR23,0,2019-03-31,INR,160590000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,CGR12,0,2019-03-31,INR,2357040000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2019,2018,OTH,0,2019-03-31,INR,3144670000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR11012,0,2018-03-31,INR,3477120000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR11021,0,2018-03-31,INR,2113930000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR1101,0,2018-03-31,INR,6062160000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,OTH,0,2018-03-31,INR,3462780000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR25,0,2018-03-31,INR,156330000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR2,0,2018-03-31,INR,7026500000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR1201,0,2018-03-31,INR,135740000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR21,0,2018-03-31,INR,4507280000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR26,0,2018-03-31,INR,1000450000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR27,0,2018-03-31,INR,79310000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR23,0,2018-03-31,INR,157990000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR11011,0,2018-03-31,INR,2584610000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR11022,0,2018-03-31,INR,786010000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,TTL_RECEIPTS,0,2018-03-31,INR,21378830000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR1,0,2018-03-31,INR,14352330000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,OTHE,0,2018-03-31,INR,1791710000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,OTHR,0,2018-03-31,INR,98860000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR12,0,2018-03-31,INR,1927450000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR22,0,2018-03-31,INR,1026280000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR1102,0,2018-03-31,INR,6362720000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2018,2017,CGR11,0,2018-03-31,INR,12424880000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR27,0,2017-03-31,INR,179966000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR1101,0,2017-03-31,INR,5212874400000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR1102,0,2017-03-31,INR,5800849600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,OTHR,0,2017-03-31,INR,1031871600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR21,0,2017-03-31,INR,3381491200000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,TTL_RECEIPTS,0,2017-03-31,INR,19840890000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR1,0,2017-03-31,INR,13742030000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR11012,0,2017-03-31,INR,2959603000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR25,0,2017-03-31,INR,176295600000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR1201,0,2017-03-31,INR,162289800000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,OTH,0,2017-03-31,INR,1586255500000.0002
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR11021,0,2017-03-31,INR,2860878000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR22,0,2017-03-31,INR,674351400000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,OTHE,0,2017-03-31,INR,2566019100000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR11011,0,2017-03-31,INR,2252139000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR11022,0,2017-03-31,INR,1353716099999.9998
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR11,0,2017-03-31,INR,11013720900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR23,0,2017-03-31,INR,177454199999.99997
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR12,0,2017-03-31,INR,2728308900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR26,0,2017-03-31,INR,477430000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2017,2016,CGR2,0,2017-03-31,INR,6098860000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,TTL_RECEIPTS,0,2016-03-31,INR,17776040000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR21,0,2016-03-31,INR,4149309699999.9995
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR2,0,2016-03-31,INR,5825790000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR1102,0,2016-03-31,INR,4944690000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,OTHR,0,2016-03-31,INR,276099600000.0005
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR27,0,2016-03-31,INR,127483400000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR1,0,2016-03-31,INR,11950250000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR25,0,2016-03-31,INR,208347500000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR26,0,2016-03-31,INR,421316900000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,OTH,0,2016-03-31,INR,1451670000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,OTHE,0,2016-03-31,INR,2258820000000
RBI:CG_RECPT_RN(1.0),N_A,AFY,2016,2015,CGR11,0,2016-03-31,INR,9437650000000
