DATAFLOW,AUDST,CGB_GFD_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1988,1987,0,1988-03-31,INR,124730000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1988,1987,0,1988-03-31,INR,270440000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1988,1987,0,1988-03-31,INR,28930000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1988,1987,0,1988-03-31,INR,58620000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1988,1987,0,1988-03-31,INR,241510000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1988,1987,0,1988-03-31,INR,58160000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1987,1986,0,1987-03-31,INR,243180000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1987,1986,0,1987-03-31,INR,82610000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1987,1986,0,1987-03-31,INR,105250000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1987,1986,0,1987-03-31,INR,263420000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1987,1986,0,1987-03-31,INR,55320000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1987,1986,0,1987-03-31,INR,20240000000
RBI:CG_BOR_RN(1.0),N_A,CGB22,AFY,1986,1985,0,1986-03-31,INR,102090000000
RBI:CG_BOR_RN(1.0),N_A,CGB23,AFY,1986,1985,0,1986-03-31,INR,53160000000
RBI:CG_BOR_RN(1.0),N_A,CGB21,AFY,1986,1985,0,1986-03-31,INR,48840000000
RBI:CG_BOR_RN(1.0),N_A,CGB,AFY,1986,1985,0,1986-03-31,INR,218580000000
RBI:CG_BOR_RN(1.0),N_A,CGB1,AFY,1986,1985,0,1986-03-31,INR,14490000000
RBI:CG_BOR_RN(1.0),N_A,CGB2,AFY,1986,1985,0,1986-03-31,INR,204090000000
