DATAFLOW,AUDST,FREQ,INDICRS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN102,1996,1995,0,1996-03-31,RO,2.3
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN11,1996,1995,0,1996-03-31,RO,4.76
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12,1996,1995,0,1996-03-31,RO,14.53
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1201,1996,1995,0,1996-03-31,RO,11.4
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12011,1996,1995,0,1996-03-31,RO,4.08
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12012,1996,1995,0,1996-03-31,RO,1.03
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN1202,1996,1995,0,1996-03-31,RO,3.13
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN12021,1996,1995,0,1996-03-31,RO,1.15
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN13,1996,1995,0,1996-03-31,RO,2.19
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN01,1997,1996,0,1997-03-31,RO,4.7
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN02,1997,1996,0,1997-03-31,RO,3.27
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN03,1997,1996,0,1997-03-31,RO,0.51
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN04,1997,1996,0,1997-03-31,RO,0.64
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN05,1997,1996,0,1997-03-31,RO,2.3
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN06,1997,1996,0,1997-03-31,RO,-1.89
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN07,1997,1996,0,1997-03-31,RO,0.93
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN08,1997,1996,0,1997-03-31,RO,0.14
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN09,1997,1996,0,1997-03-31,RO,9.07
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN091,1997,1996,0,1997-03-31,RO,2.74
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN092,1997,1996,0,1997-03-31,RO,6.33
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN10,1997,1996,0,1997-03-31,RO,8.9
RBI:FICG_GDP_RN(1.0),N_A,AFY,IN101,1997,1996,0,1997-03-31,RO,6.6
