DATAFLOW,AUDST,FREQ,MKT_TRANSC_RN,REPYEAREND,REPYEARSTART,TRANC_TYP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2024-01-31,INR,2863365250000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2024-01-31,INR,1025734770000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2024-01-31,INR,6571767530000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2024-01-31,INR,29734469590000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2024-01-31,INR,720831600000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-12-31,INR,1436777380000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-12-31,INR,1342379120000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-12-31,INR,4126424909999.9995
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-12-31,INR,5667489610000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-12-31,INR,27682952760000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-12-31,INR,1347268410000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-11-30,INR,6591468920000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-11-30,INR,3867479910000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-11-30,INR,1296023700000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-11-30,INR,1303811010000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-11-30,INR,1267645200000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-11-30,INR,26925725120000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-10-31,INR,837265380000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-10-31,INR,5589633830000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-10-31,INR,708925890000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-10-31,INR,2201109970000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-10-31,INR,654918700000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-10-31,INR,28122919050000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-09-30,INR,2121016530000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-09-30,INR,627525320000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-09-30,INR,31014901730000.004
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-09-30,INR,777814540000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-09-30,INR,715676670000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-09-30,INR,6204467740000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-08-31,INR,6677928810000
RBI:SEC_MKT_RN(1.0),N_A,M,CEN_GOV_SEC,2024,2023,N_A,0,2023-08-31,INR,32123603530000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_182DAY,2024,2023,N_A,0,2023-08-31,INR,1250505070000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_91DAY,2024,2023,N_A,0,2023-08-31,INR,986163330000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_BILLS,2024,2023,N_A,0,2023-08-31,INR,3220328410000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-08-31,INR,983660010000
RBI:SEC_MKT_RN(1.0),N_A,M,TR_364DAY,2024,2023,N_A,0,2023-07-31,INR,769553540000
RBI:SEC_MKT_RN(1.0),N_A,M,ST_GOV_SEC,2024,2023,N_A,0,2023-07-31,INR,7021466260000
