DATAFLOW,AUDST,FREQ,MRKT_BORROW_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-09-19,INR,3082640508000.0005
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-09-19,INR,5919142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-09-12,INR,5639142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-09-12,INR,2903640508000.0005
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-09-12,INR,4232922070000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-09-12,INR,6990000000000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-09-05,INR,2872917767000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-09-05,INR,5389142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-09-05,INR,4083922070000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-09-05,INR,6740000000000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-08-29,INR,3793096430000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-08-29,INR,6420000000000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-08-29,INR,5069142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-08-29,INR,2587092127000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-08-22,INR,3504176070000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-08-22,INR,2397671767000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-08-22,INR,6060000000000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-08-22,INR,4709142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-08-15,INR,5780000000000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-08-15,INR,2221671767000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-08-15,INR,4429142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-08-15,INR,3328176070000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-08-08,INR,2238171767000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-08-08,INR,5530000000000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-08-08,INR,4179142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-08-08,INR,3243676070000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-08-01,INR,3859142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-08-01,INR,2976175890000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-08-01,INR,5210000000000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-08-01,INR,1977671587000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_GROSS_AMT_RAISED,2026,2025,0,2025-07-25,INR,2698985420000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,SG_NET_AMT_RAISED,2026,2025,0,2025-07-25,INR,1841731117000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_NET_AMT_RAISED,2026,2025,0,2025-07-25,INR,3499142250000
RBI:MRKT_BOR_GOI_SG_RN(1.0),N_A,W,GOI_GROSS_AMT_RAISED,2026,2025,0,2025-07-25,INR,4850000000000
