DATAFLOW,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,SALE_SZ_CLS_RN,TYP_FIN_RT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,AUTR_RM_CON_TO_VP,0,2012-03-31,PT,58.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,AUTR_SAL_GFA,0,2012-03-31,PT,155.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,AUTR_SAL_TNA,0,2012-03-31,PT,72.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,AUTR_SD_TO_SL,0,2012-03-31,PT,21.8
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,CSR_DEB_EQT,0,2012-03-31,PT,46.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,CSR_DTE_ADJ,0,2012-03-31,PT,47.5
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,CSR_NFA_TNA,0,2012-03-31,PT,31.9
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,CSR_NW_TNA,0,2012-03-31,PT,42.7
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,CSR_STBB_INV,0,2012-03-31,PT,58.0
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,CSR_TOL_TNW,0,2012-03-31,PT,134.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,LR_CA_CL,0,2012-03-31,PT,1.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,LR_CA_TNA,0,2012-03-31,PT,53.1
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,LR_QA_CL,0,2012-03-31,PT,58.8
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,LR_SC_TO_CA,0,2012-03-31,PT,21.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,LR_SC_TO_NWC,0,2012-03-31,PT,70.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_DIV_NW,0,2012-03-31,PT,2.4
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_EBD_SAL,0,2012-03-31,PT,7.3
RBI:FIN_RATIOS_PUB_SAL_RN(1.0),N_A,344,AFY,CURR_YR,2012,2011,FIV_HUN_TO_1000_CR,PPAR_GP_SAL,0,2012-03-31,PT,10.2
