DATAFLOW,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,PUC_SZ_GRP_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_INT_EXP,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,17.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_INT_EXP,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,37.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_INT_EXP,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,26.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_INT_EXP,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,35.1
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_INT_EXP,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,19.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_INT_EXP,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,41.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_INT_EXP,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,27.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_INVN,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,13.4
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_INVN,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,19.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_INVN,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,9.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_INVN,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,30.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_INVN,1CR_TO_2CR,CURR_YR,2012,2011,0,2012-03-31,PT,18.9
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,120,AFY,GRP_INVN,1CR_TO_2CR,PREV_YR,2012,2011,0,2012-03-31,PT,41.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_INVN,25CR_TO_50CR,CURR_YR,2012,2011,0,2012-03-31,PT,15.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,393,AFY,GRP_INVN,25CR_TO_50CR,PREV_YR,2012,2011,0,2012-03-31,PT,23.8
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_INVN,2CR_TO_5CR,CURR_YR,2012,2011,0,2012-03-31,PT,13.3
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,486,AFY,GRP_INVN,2CR_TO_5CR,PREV_YR,2012,2011,0,2012-03-31,PT,28.2
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_INVN,50CR_TO_100CR,CURR_YR,2012,2011,0,2012-03-31,PT,17.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,238,AFY,GRP_INVN,50CR_TO_100CR,PREV_YR,2012,2011,0,2012-03-31,PT,36.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_INVN,5CR_TO_10CR,CURR_YR,2012,2011,0,2012-03-31,PT,7.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,599,AFY,GRP_INVN,5CR_TO_10CR,PREV_YR,2012,2011,0,2012-03-31,PT,23.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_INVN,LESS_THN_1CR,CURR_YR,2012,2011,0,2012-03-31,PT,-1.0
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,65,AFY,GRP_INVN,LESS_THN_1CR,PREV_YR,2012,2011,0,2012-03-31,PT,-8.5
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_INV_GRS_PHY_AST,100CR_N_ABOVE,CURR_YR,2012,2011,0,2012-03-31,PT,9.6
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,251,AFY,GRP_INV_GRS_PHY_AST,100CR_N_ABOVE,PREV_YR,2012,2011,0,2012-03-31,PT,15.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_INV_GRS_PHY_AST,10CR_TO_25CR,CURR_YR,2012,2011,0,2012-03-31,PT,12.7
RBI:GRWT_RT_INDC_PUB_PUC_RN(1.0),N_A,889,AFY,GRP_INV_GRS_PHY_AST,10CR_TO_25CR,PREV_YR,2012,2011,0,2012-03-31,PT,14.6
