DATAFLOW,AUDST,COM_CSUR_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2002-01-25,INR,4646360000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2002-01-25,INR,36380000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2002-02-22,INR,9936090000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2002-02-22,INR,1426690000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2002-02-22,INR,8509390000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2002-02-22,INR,3829230000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2002-02-22,INR,16470000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2002-02-22,INR,4680160000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2002-02-22,INR,4680170000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2002-02-22,INR,27950000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2002,2001,0,2002-03-22,INR,10125100000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2002,2001,0,2002-03-22,INR,1530480000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2002,2001,0,2002-03-22,INR,8594620000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2002,2001,0,2002-03-22,INR,3867580000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2002,2001,0,2002-03-22,INR,22330000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2002,2001,0,2002-03-22,INR,4727040000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2002,2001,0,2002-03-22,INR,4727040000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2002,2001,0,2002-03-22,INR,30290000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-04-19,INR,10423680000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-04-19,INR,1544290000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-04-19,INR,8879380000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-04-19,INR,3995720000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-04-19,INR,17750000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-04-19,INR,4883660000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-04-19,INR,4883660000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-04-19,INR,24530000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-05-31,INR,10994700000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-05-31,INR,1561540000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-05-31,INR,9433160000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-05-31,INR,4244920000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-05-31,INR,19710000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-05-31,INR,5188240000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-05-31,INR,5188240000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-05-31,INR,98920000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-06-28,INR,11047160000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-06-28,INR,1577650000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-06-28,INR,9469510000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-06-28,INR,4261280000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-06-28,INR,17510000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-06-28,INR,5208230000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-06-28,INR,5208230000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-06-28,INR,94770000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-07-26,INR,11140970000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-07-26,INR,1514570000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-07-26,INR,9626390000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-07-26,INR,4331880000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-07-26,INR,16820000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-07-26,INR,5294510000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-07-26,INR,5294520000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-07-26,INR,97840000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-08-23,INR,11245450000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-08-23,INR,1509110000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-08-23,INR,9736340000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-08-23,INR,4381350000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-08-23,INR,13940000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-08-23,INR,5354990000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-08-23,INR,5354990000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-08-23,INR,96960000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-09-20,INR,11345170000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-09-20,INR,1532300000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-09-20,INR,9812870000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-09-20,INR,4415790000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-09-20,INR,16040000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-09-20,INR,5397080000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-09-20,INR,5397080000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-09-20,INR,102680000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-10-18,INR,11470640000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-10-18,INR,1569140000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-10-18,INR,9901490000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-10-18,INR,4455670000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-10-18,INR,17850000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-10-18,INR,5445820000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-10-18,INR,5445820000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-10-18,INR,90440000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-11-29,INR,11641930000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-11-29,INR,1602950000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-11-29,INR,10038980000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-11-29,INR,4517540000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-11-29,INR,17810000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-11-29,INR,5521440000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-11-29,INR,5521440000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-11-29,INR,97180000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2002-12-27,INR,11673790000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2002-12-27,INR,1648840000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2002-12-27,INR,10024950000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2002-12-27,INR,4511230000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2002-12-27,INR,11790000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2002-12-27,INR,5513720000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2002-12-27,INR,5513720000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2002-12-27,INR,104960000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2003-01-24,INR,11731800000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2003-01-24,INR,1594220000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2003-01-24,INR,10137580000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2003-01-24,INR,4561910000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2003-01-24,INR,12450000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2003-01-24,INR,5575670000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2003-01-24,INR,5575670000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2003-01-24,INR,112360000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2003-02-21,INR,11802360000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2003-02-21,INR,1645620000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2003-02-21,INR,10156740000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2003-02-21,INR,4570530000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2003-02-21,INR,11220000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2003-02-21,INR,5586210000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2003-02-21,INR,5586210000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2003-02-21,INR,111650000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2003,2002,0,2003-03-21,INR,11883480000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2003,2002,0,2003-03-21,INR,1702890000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2003,2002,0,2003-03-21,INR,10180580000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2003,2002,0,2003-03-21,INR,4581260000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2003,2002,0,2003-03-21,INR,7350000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2003,2002,0,2003-03-21,INR,5599320000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2003,2002,0,2003-03-21,INR,5599320000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2003,2002,0,2003-03-21,INR,126380000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2004,2003,0,2003-04-18,INR,12279510000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2004,2003,0,2003-04-18,INR,1786310000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12,N_A,M,2004,2003,0,2003-04-18,INR,10493200000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1201,N_A,M,2004,2003,0,2003-04-18,INR,4721940000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12011,N_A,M,2004,2003,0,2003-04-18,INR,11000000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS12012,N_A,M,2004,2003,0,2003-04-18,INR,5771260000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1202,N_A,M,2004,2003,0,2003-04-18,INR,5771260000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS2,N_A,M,2004,2003,0,2003-04-18,INR,148100000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS1,N_A,M,2004,2003,0,2003-05-30,INR,12404560000000
RBI:CSURYCOM_M_RN(1.0),N_A,CCS11,N_A,M,2004,2003,0,2003-05-30,INR,1764580000000
