DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOR_RBI_SUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI4,0,2024-10-31,INR,18685373100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI31,0,2024-10-31,INR,5670317000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2024-10-31,INR,348328900800
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11013,0,2024-10-31,INR,13124797100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1302,0,2024-10-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI121,0,2024-10-31,INR,-2158060000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1102,0,2024-10-31,INR,233550800000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1301,0,2024-10-31,INR,72228700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1101,0,2024-10-31,INR,11090778400000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11011,0,2024-10-31,INR,0.0
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11014,0,2024-10-31,INR,3081300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2024-10-31,INR,580809320500
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1,0,2024-10-31,INR,9258023900000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11,0,2024-10-31,INR,11324329200000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2024-10-31,INR,13124797100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI12,0,2024-09-30,INR,-346180000000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI110131,0,2024-09-30,INR,13136085700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI5,0,2024-09-30,INR,832487360700
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI4,0,2024-09-30,INR,18740808300000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI11013,0,2024-09-30,INR,13136085700000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI32,0,2024-09-30,INR,50976183099999.9
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI2,0,2024-09-30,INR,345943442000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI1101,0,2024-09-30,INR,8947082100000
RBI:RBI_SURY_SOR_M_RN(1.0),N_A,M,2025,2024,SRBI3,0,2024-09-30,INR,56292499750000
