DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-07-04,INR,-4308820000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-06-27,INR,15133606399999.998
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-06-27,INR,376516821000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-06-27,INR,58403960110000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-06-27,INR,21686436820000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-06-27,INR,-3077280000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-06-27,INR,90293700000.00002
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-06-20,INR,58771213900000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-06-20,INR,91134699999.9995
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-06-20,INR,-3012240000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-06-20,INR,372909871900
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-06-20,INR,15246187300000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-06-20,INR,22092082560000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-06-13,INR,58517254840000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-06-13,INR,-3705890000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-06-13,INR,372909871900
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-06-13,INR,102633700000.00002
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-06-13,INR,16025622600000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-06-13,INR,21816902000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-06-06,INR,58031365150000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-06-06,INR,21488844720000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-06-06,INR,125508100000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-06-06,INR,-3235640000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-06-06,INR,372909871900
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-06-06,INR,15764994100000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-05-30,INR,143934300000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-05-30,INR,-2225720000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-05-30,INR,372909871900
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-05-30,INR,20992222560000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-05-30,INR,14793147800000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-05-30,INR,57532961580000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR7,0,2025-05-23,INR,369221938200
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR6,0,2025-05-23,INR,57386076619999.99
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-05-23,INR,13999827700000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR5,0,2025-05-23,INR,178603700000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR8,0,2025-05-23,INR,20635877290000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR4,0,2025-05-23,INR,-1860350000000
RBI:RMS_W_RN(1.0),N_A,W,2026,2025,SOR1,0,2025-05-16,INR,17461568200000
