DATAFLOW,AUDST,COM_MS_RN,FREQ,MEASURE_RN,REPYEAREND,REPYEARSTART,SOUR_MS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,733100833000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1995,1994,N_A,0,1995-03-31,INR,3089958333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS1,0,1995-03-31,INR,2156070000000.0002
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS2,0,1995-03-31,INR,2564103333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS3,0,1995-03-31,INR,694052500000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS4,0,1995-03-31,INR,21258333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1995,1994,SMS5,0,1995-03-31,INR,653525833000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,5529529517000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,1982832617000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,1782450833000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,1120802500000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,59250833000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,802780000000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1996,1995,N_A,0,1996-03-31,INR,3546695833000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1996,1995,SMS1,0,1996-03-31,INR,2421990833000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1996,1995,SMS2,0,1996-03-31,INR,3098034167000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1996,1995,SMS3,0,1996-03-31,INR,776989167000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1996,1995,SMS4,0,1996-03-31,INR,23879167000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1996,1995,SMS5,0,1996-03-31,INR,791364167000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1997,1996,N_A,0,1997-03-31,INR,6426311183000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1997,1996,N_A,0,1997-03-31,INR,2217635567000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1997,1996,N_A,0,1997-03-31,INR,1895235833000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1997,1996,N_A,0,1997-03-31,INR,1267115833000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1997,1996,N_A,0,1997-03-31,INR,53065833000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1997,1996,N_A,0,1997-03-31,INR,897452500000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1997,1996,N_A,0,1997-03-31,INR,4208675000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1997,1996,SMS1,0,1997-03-31,INR,2783128333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1997,1996,SMS2,0,1997-03-31,INR,3494928333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1997,1996,SMS3,0,1997-03-31,INR,911865833000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1997,1996,SMS4,0,1997-03-31,INR,27593333000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1997,1996,SMS5,0,1997-03-31,INR,791204167000
RBI:AMAGG_RN(1.0),N_A,CMS1,AFY,ANNUAL_AVE,1998,1997,N_A,0,1998-03-31,INR,7520275833000
RBI:AMAGG_RN(1.0),N_A,CMS11,AFY,ANNUAL_AVE,1998,1997,N_A,0,1998-03-31,INR,2484650233000
RBI:AMAGG_RN(1.0),N_A,CMS1101,AFY,ANNUAL_AVE,1998,1997,N_A,0,1998-03-31,INR,2089935000000
RBI:AMAGG_RN(1.0),N_A,CMS1101101,AFY,ANNUAL_AVE,1998,1997,N_A,0,1998-03-31,INR,1421865833000
RBI:AMAGG_RN(1.0),N_A,CMS11012,AFY,ANNUAL_AVE,1998,1997,N_A,0,1998-03-31,INR,40347500000
RBI:AMAGG_RN(1.0),N_A,CMS1102,AFY,ANNUAL_AVE,1998,1997,N_A,0,1998-03-31,INR,1022436667000
RBI:AMAGG_RN(1.0),N_A,CMS12,AFY,ANNUAL_AVE,1998,1997,N_A,0,1998-03-31,INR,5035625000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1998,1997,SMS1,0,1998-03-31,INR,3130985833000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1998,1997,SMS2,0,1998-03-31,INR,3910285000000
RBI:AMAGG_RN(1.0),N_A,N_A,AFY,ANNUAL_AVE,1998,1997,SMS3,0,1998-03-31,INR,1174940833000
