DATAFLOW,AUDST,COMP_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2019,2018,0,2018-05-31,INR,268646480000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2019,2018,0,2018-05-31,INR,12831650930000.002
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2019,2018,0,2018-05-31,INR,769630990000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2019,2018,0,2018-05-31,INR,108206547985000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-06-30,INR,140032266603000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-06-30,INR,31891253432000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-06-30,INR,18767613910000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2019,2018,0,2018-06-30,INR,225157143000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2019,2018,0,2018-06-30,INR,12898482379000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2019,2018,0,2018-06-30,INR,806303741000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2019,2018,0,2018-06-30,INR,108141013171000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-07-31,INR,140728656365000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-07-31,INR,31578409066000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-07-31,INR,18589335638000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2019,2018,0,2018-07-31,INR,230014143000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2019,2018,0,2018-07-31,INR,12759059285000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2019,2018,0,2018-07-31,INR,777007901000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2019,2018,0,2018-07-31,INR,109150247299000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-08-31,INR,142714079311000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-08-31,INR,32135577806000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-08-31,INR,18468438637000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2019,2018,0,2018-08-31,INR,246704143000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2019,2018,0,2018-08-31,INR,13420435026000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2019,2018,0,2018-08-31,INR,807898610000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2019,2018,0,2018-08-31,INR,110578501505000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-09-30,INR,144229079194000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-09-30,INR,32917061486000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-09-30,INR,18429356802000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2019,2018,0,2018-09-30,INR,255804143000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2019,2018,0,2018-09-30,INR,14231900541000
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2019,2018,0,2018-09-30,INR,823080445999.9999
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2019,2018,0,2018-09-30,INR,111312017708000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-10-31,INR,144263797712000
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-10-31,INR,32506295223000.004
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-10-31,INR,18751351193000
RBI:BMC_M_RN(1.0),N_A,CMS1102,N_A,M,2019,2018,0,2018-10-31,INR,245784143000
RBI:BMC_M_RN(1.0),N_A,CMS1103,N_A,M,2019,2018,0,2018-10-31,INR,13509159887000.002
RBI:BMC_M_RN(1.0),N_A,CMS1104,N_A,M,2019,2018,0,2018-10-31,INR,861276055000
RBI:BMC_M_RN(1.0),N_A,CMS12,N_A,M,2019,2018,0,2018-10-31,INR,111757502489000
RBI:BMC_M_RN(1.0),N_A,CMS1,N_A,M,2019,2018,0,2018-11-30,INR,145187747829999.97
RBI:BMC_M_RN(1.0),N_A,CMS11,N_A,M,2019,2018,0,2018-11-30,INR,32884742299000
RBI:BMC_M_RN(1.0),N_A,CMS1101,N_A,M,2019,2018,0,2018-11-30,INR,19244460336000
