DATAFLOW,AUDST,COM_RBI_SUR_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-08-31,INR,44555658578700
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-08-31,INR,718871248700
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-08-31,INR,10103610400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-08-31,INR,10736136300000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-08-31,INR,33100651030000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-07-31,INR,711232895900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-07-31,INR,8992794800000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-07-31,INR,43553244685900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-07-31,INR,9596386600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-07-31,INR,33245625190000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-06-30,INR,9312264900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-06-30,INR,33604173900000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-06-30,INR,43703240795900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-06-30,INR,786801995900
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-06-30,INR,8711671400000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1,M,2024,2023,0,2023-05-31,INR,44599279068000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS11,M,2024,2023,0,2023-05-31,INR,34784790860000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS12,M,2024,2023,0,2023-05-31,INR,9134548600000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-05-31,INR,679939608000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS1201,M,2024,2023,0,2023-05-31,INR,8524170800000
RBI:RBI_SURY_COM_M_RN(1.0),N_A,CRBIS13,M,2024,2023,0,2023-04-30,INR,683085808000
