DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_CSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR21,0,2010-01-15,INR,385820000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR22,0,2010-01-15,INR,671610000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR23,0,2010-01-15,INR,288160000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR3,0,2010-01-15,INR,2548340000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR31,0,2010-01-15,INR,2305650000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR32,0,2010-01-15,INR,246600000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR33,0,2010-01-15,INR,3900000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR4,0,2010-01-15,INR,3861930000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR5,0,2010-01-15,INR,1861820000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR51,0,2010-01-15,INR,2889190000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SCSR52,0,2010-01-15,INR,-41340000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR1,0,2010-12-31,INR,54469640000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR11,0,2010-12-31,INR,14438170000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR12,0,2010-12-31,INR,40031480000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR1201,0,2010-12-31,INR,37653720000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR12011,0,2010-12-31,INR,36994250000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR12012,0,2010-12-31,INR,659470000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR1202,0,2010-12-31,INR,16060000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR1203,0,2010-12-31,INR,46620000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR1204,0,2010-12-31,INR,2315070000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR2,0,2010-12-31,INR,-754830000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR21,0,2010-12-31,INR,392400000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR22,0,2010-12-31,INR,682200000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR23,0,2010-12-31,INR,465030000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR3,0,2010-12-31,INR,3414220000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR31,0,2010-12-31,INR,3128680000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR32,0,2010-12-31,INR,335290000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR33,0,2010-12-31,INR,49760000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR4,0,2010-12-31,INR,4534540000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR5,0,2010-12-31,INR,2249870000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR51,0,2010-12-31,INR,2826920000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SCSR52,0,2010-12-31,INR,-218820000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR1,0,2011-07-15,INR,59751460000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR11,0,2011-07-15,INR,16678760000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR12,0,2011-07-15,INR,43072700000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR1201,0,2011-07-15,INR,40143860000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR12011,0,2011-07-15,INR,39379460000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR12012,0,2011-07-15,INR,764400000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR1202,0,2011-07-15,INR,33860000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR1203,0,2011-07-15,INR,45540000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR1204,0,2011-07-15,INR,2849440000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR2,0,2011-07-15,INR,-1084070000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR21,0,2011-07-15,INR,316350000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR22,0,2011-07-15,INR,730610000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR23,0,2011-07-15,INR,669820000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR3,0,2011-07-15,INR,3790340000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR31,0,2011-07-15,INR,3490380000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR32,0,2011-07-15,INR,339530000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR33,0,2011-07-15,INR,39570000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR4,0,2011-07-15,INR,5214300000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR5,0,2011-07-15,INR,2268250000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR51,0,2011-07-15,INR,2852950000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SCSR52,0,2011-07-15,INR,-303350000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR1,0,2012-06-15,INR,68776960000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR11,0,2012-06-15,INR,18438780000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR12,0,2012-06-15,INR,50338180000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR1201,0,2012-06-15,INR,47144840000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR12011,0,2012-06-15,INR,46089470000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR12012,0,2012-06-15,INR,1055370000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR1202,0,2012-06-15,INR,48380000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR1203,0,2012-06-15,INR,26780000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR1204,0,2012-06-15,INR,3118170000000
RBI:CSURYSOR_F_RN(1.0),N_A,N_A,F,2013,2012,SCSR2,0,2012-06-15,INR,-1135160000000
