DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,SOUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2024-02-23,INR,16995626890000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2024-01-26,INR,328874352500
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2024-01-26,INR,2720570000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2024-01-26,INR,49758978080000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2024-01-26,INR,17213822100000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2024-01-26,INR,9215910000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2024-01-26,INR,2668200000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2024-01-26,INR,52372600000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2024-01-26,INR,9343593700000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-12-29,INR,1828300000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-12-29,INR,325963989200
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-12-29,INR,1879100500000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-12-29,INR,50383717220000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-12-29,INR,17932097240000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-12-29,INR,9796585500000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-12-29,INR,9771220300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-12-29,INR,50800000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-11-24,INR,48396742430000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-11-24,INR,10314695800000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-11-24,INR,1210811000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-11-24,INR,1263141900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-11-24,INR,52330900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-11-24,INR,322644751400
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-11-24,INR,16213991990000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-11-24,INR,10477025200000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-10-27,INR,52438300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-10-27,INR,14920267330000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-10-27,INR,47349207470000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-10-27,INR,1040575200000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-10-27,INR,988136900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-10-27,INR,319393281700
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-10-27,INR,9448854600000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-10-27,INR,9667143100000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-09-29,INR,1096081400000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-09-29,INR,10239238100000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-09-29,INR,1045280000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-09-29,INR,47196105260000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-09-29,INR,50801400000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-09-29,INR,14894845010000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-09-29,INR,10123600300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-09-29,INR,316485858500
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-08-25,INR,51860300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-08-25,INR,15106306210000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-08-25,INR,313998627200
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-08-25,INR,11688191400000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-08-25,INR,11852463700000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-08-25,INR,47514311260000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-08-25,INR,-18808800000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-08-25,INR,-70669100000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-07-28,INR,15441516070000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-07-28,INR,-1338643200000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-07-28,INR,11970852900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-07-28,INR,-1287201900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-07-28,INR,11832188300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-07-28,INR,47999628370000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-07-28,INR,311481388200
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-07-28,INR,51441300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-06-30,INR,53827900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-06-30,INR,12104585300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-06-30,INR,12202513200000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-06-30,INR,-1163005300000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-06-30,INR,47175008500000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-06-30,INR,-1216833200000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-06-30,INR,14820521910000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-06-30,INR,309246298600
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-05-26,INR,44204400000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR3,0,2023-05-26,INR,-901161500000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR2,0,2023-05-26,INR,12799432200000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-05-26,INR,-945365900000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR7,0,2023-05-26,INR,306916348500
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR8,0,2023-05-26,INR,15107069880000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR1,0,2023-05-26,INR,12936427000000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR6,0,2023-05-26,INR,46984807290000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR5,0,2023-04-28,INR,220002700000
RBI:RMS_M_RN(1.0),N_A,M,2024,2023,SOR4,0,2023-04-28,INR,-543216600000.00006
