DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2024-03-22,INR,98098600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2024-03-22,INR,499060000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2024-03-22,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2024-03-22,INR,597158600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2024-02-23,INR,1533363900000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF2,0,2024-02-23,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2024-02-23,INR,90663900000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2024-02-23,INR,1442700000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2024-02-23,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF2,0,2024-01-26,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2024-01-26,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2024-01-26,INR,357846600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2024-01-26,INR,31736600000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2024-01-26,INR,326110000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-12-29,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-12-29,INR,1373994500000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-12-29,INR,1342320000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-12-29,INR,31674500000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TTL_OUTSTANDING,0,2023-11-17,INR,1145672300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF3,0,2023-11-17,INR,31812300000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF2,0,2023-11-17,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF1,0,2023-11-17,INR,1113860000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2024,2023,TSF4,0,2023-11-17,INR,0.0
