DATAFLOW,AUDST,FREQ,LIAB_ITEMS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2017,2016,0,2017-03-31,INR,18800610000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2017,2016,0,2017-03-31,INR,120000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2016,2015,0,2016-03-31,INR,130000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2016,2015,0,2016-03-31,INR,38930000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2016,2015,0,2016-03-31,INR,16415580000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2016,2015,0,2016-03-31,INR,17240760000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2016,2015,0,2016-03-31,INR,226450000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2016,2015,0,2016-03-31,INR,14150000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2016,2015,0,2016-03-31,INR,4738730000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2016,2015,0,2016-03-31,INR,7553190000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2016,2015,0,2016-03-31,INR,16415710000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2016,2015,0,2016-03-31,INR,1000000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2016,2015,0,2016-03-31,INR,9687570000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2016,2015,0,2016-03-31,INR,2533510000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2016,2015,0,2016-03-31,INR,420000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2015,2014,0,2015-03-31,INR,4396653900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2015,2014,0,2015-03-31,INR,10900000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2015,2014,0,2015-03-31,INR,40407200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2015,2014,0,2015-03-31,INR,14288820000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2015,2014,0,2015-03-31,INR,14288925200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2015,2014,0,2015-03-31,INR,1010000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2015,2014,0,2015-03-31,INR,8035350000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2015,2014,0,2015-03-31,INR,14770470000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2015,2014,0,2015-03-31,INR,2078080000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2015,2014,0,2015-03-31,INR,6735120000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2015,2014,0,2015-03-31,INR,105200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2015,2014,0,2015-03-31,INR,424500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2015,2014,0,2015-03-31,INR,207642800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2014,2013,0,2014-03-31,INR,867701300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2014,2013,0,2014-03-31,INR,8493500000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2014,2013,0,2014-03-31,INR,5361600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2014,2013,0,2014-03-31,INR,130200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2014,2013,0,2014-03-31,INR,38556200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2014,2013,0,2014-03-31,INR,182311000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2014,2013,0,2014-03-31,INR,157281000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2014,2013,0,2014-03-31,INR,12837480600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2014,2013,0,2014-03-31,INR,424400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2014,2013,0,2014-03-31,INR,12837350400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2014,2013,0,2014-03-31,INR,4070800500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2014,2013,0,2014-03-31,INR,13815940000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2014,2013,0,2014-03-31,INR,5322440000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2013,2012,0,2013-03-31,INR,675186700000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2013,2012,0,2013-03-31,INR,11756353799999.998
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2013,2012,0,2013-03-31,INR,3018916100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2013,2012,0,2013-03-31,INR,2522100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2013,2012,0,2013-03-31,INR,424900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2013,2012,0,2013-03-31,INR,10955910000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2013,2012,0,2013-03-31,INR,135228799999.99998
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2013,2012,0,2013-03-31,INR,11756446300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2013,2012,0,2013-03-31,INR,4017550000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2013,2012,0,2013-03-31,INR,6938353600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2013,2012,0,2013-03-31,INR,92500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2013,2012,0,2013-03-31,INR,35313400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2013,2012,0,2013-03-31,INR,149960200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2012,2011,0,2012-03-31,INR,184201400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2012,2011,0,2012-03-31,INR,10537988800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2012,2011,0,2012-03-31,INR,129500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2012,2011,0,2012-03-31,INR,37592100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2012,2011,0,2012-03-31,INR,9904488900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2012,2011,0,2012-03-31,INR,3871730000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2012,2011,0,2012-03-31,INR,150888500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2012,2011,0,2012-03-31,INR,3373573800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2012,2011,0,2012-03-31,INR,124185100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2012,2011,0,2012-03-31,INR,424700000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2012,2011,0,2012-03-31,INR,10537859300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2012,2011,0,2012-03-31,INR,859600000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2012,2011,0,2012-03-31,INR,6032766500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2011,2010,0,2011-03-31,INR,1004700000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2011,2010,0,2011-03-31,INR,140900000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2011,2010,0,2011-03-31,INR,9369491000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2011,2010,0,2011-03-31,INR,167073100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2011,2010,0,2011-03-31,INR,4364500000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2011,2010,0,2011-03-31,INR,40813200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2011,2010,0,2011-03-31,INR,4026560000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2011,2010,0,2011-03-31,INR,647400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2011,2010,0,2011-03-31,INR,8018359800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2011,2010,0,2011-03-31,INR,3653859800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2011,2010,0,2011-03-31,INR,9369350100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2011,2010,0,2011-03-31,INR,124407200000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2011,2010,0,2011-03-31,INR,3990100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,NT_ISSU_TTL,2010,2009,0,2010-03-31,INR,7882987800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI33,2010,2009,0,2010-03-31,INR,413000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI31,2010,2009,0,2010-03-31,INR,110924400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI37,2010,2009,0,2010-03-31,INR,141374400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI34,2010,2009,0,2010-03-31,INR,3339362300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI3,2010,2009,0,2010-03-31,INR,3754030000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LIA,2010,2009,0,2010-03-31,INR,6842840000000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI38,2010,2009,0,2010-03-31,INR,119707800000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI1,2010,2009,0,2010-03-31,INR,7882788300000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI36,2010,2009,0,2010-03-31,INR,678100000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI2,2010,2009,0,2010-03-31,INR,199500000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI4,2010,2009,0,2010-03-31,INR,3088812400000
RBI:RBI_LIAB_A_RN(1.0),N_A,AFY,LI35,2010,2009,0,2010-03-31,INR,41571200000
