DATAFLOW,AUDST,FREQ,RATIOS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1997,1996,0,1997-03-31,RO,3.39
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1997,1996,0,1997-03-31,RO,2.21
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1997,1996,0,1997-03-31,RO,6.39
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1997,1996,0,1997-03-31,RO,11.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1998,1997,0,1998-03-31,RO,1.39
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1998,1997,0,1998-03-31,RO,0.61
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1998,1997,0,1998-03-31,RO,0.23
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1998,1997,0,1998-03-31,RO,0.1
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1998,1997,0,1998-03-31,RO,1.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1998,1997,0,1998-03-31,RO,3.6
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1998,1997,0,1998-03-31,RO,2.09
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1998,1997,0,1998-03-31,RO,6.32
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1998,1997,0,1998-03-31,RO,11.05
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,1999,1998,0,1999-03-31,RO,1.36
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,1999,1998,0,1999-03-31,RO,0.62
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,1999,1998,0,1999-03-31,RO,0.22
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,1999,1998,0,1999-03-31,RO,0.1
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,1999,1998,0,1999-03-31,RO,1.19
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,1999,1998,0,1999-03-31,RO,3.84
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,1999,1998,0,1999-03-31,RO,2.0
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,1999,1998,0,1999-03-31,RO,6.44
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,1999,1998,0,1999-03-31,RO,11.34
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2000,1999,0,2000-03-24,RO,1.4
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2000,1999,0,2000-03-24,RO,0.56
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2000,1999,0,2000-03-24,RO,0.21
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2000,1999,0,2000-03-24,RO,0.09
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2000,1999,0,2000-03-24,RO,1.22
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO6,2000,1999,0,2000-03-24,RO,4.03
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO7,2000,1999,0,2000-03-24,RO,1.9
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO8,2000,1999,0,2000-03-24,RO,6.26
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO9,2000,1999,0,2000-03-24,RO,10.87
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO1,2001,2000,0,2001-03-31,RO,1.33
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO2,2001,2000,0,2001-03-31,RO,0.51
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO3,2001,2000,0,2001-03-31,RO,0.2
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO4,2001,2000,0,2001-03-31,RO,0.08
RBI:MONTRY_RATIOS_RN(1.0),N_A,AFY,RO5,2001,2000,0,2001-03-31,RO,1.26
