DATAFLOW,AUDST,COMPONTS_F_RN,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2014,2013,0,2013-11-15,INR,7339124875000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2014,2013,0,2013-11-15,INR,71430399542000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2014,2013,0,2013-11-15,INR,91091720704000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2014,2013,0,2013-11-15,INR,12282324325000.002
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2014,2013,0,2013-05-31,INR,11763614420000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2014,2013,0,2013-05-31,INR,43569945000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2014,2013,0,2013-05-31,INR,67044890982000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2014,2013,0,2013-05-31,INR,86276789730999.98
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2014,2013,0,2013-05-31,INR,7424714384000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2013,2012,0,2013-03-31,INR,64922925566999.99
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2013,2012,0,2013-03-31,INR,11410608359000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2013,2012,0,2013-03-31,INR,7532252960000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2013,2012,0,2013-03-31,INR,32399953000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2013,2012,0,2013-03-31,INR,83898186839000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2013,2012,0,2012-11-30,INR,7051110476000.001
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2013,2012,0,2012-11-30,INR,23750674000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2013,2012,0,2012-11-30,INR,61983614407000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2013,2012,0,2012-11-30,INR,79931520174000
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2013,2012,0,2012-11-30,INR,10873044617000.002
RBI:MSC_F_RN(1.0),N_A,CF1,N_A,F,2013,2012,0,2012-06-15,INR,10903868725999.998
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2013,2012,0,2012-06-15,INR,6734342652000
RBI:MSC_F_RN(1.0),N_A,CF4,N_A,F,2013,2012,0,2012-06-15,INR,58943836983000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2013,2012,0,2012-06-15,INR,14672319000
RBI:MSC_F_RN(1.0),N_A,CF5,N_A,F,2013,2012,0,2012-06-15,INR,76596720700000
RBI:MSC_F_RN(1.0),N_A,CF15,N_A,F,2012,2011,0,2012-03-31,INR,7109021344000
RBI:MSC_F_RN(1.0),N_A,CF16,N_A,F,2012,2011,0,2012-03-31,INR,28223567000
