DATAFLOW,AUDST,DENOMITIN_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,1999,1998,0,1999-03-31,INR,12900000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,1999,1998,0,1999-03-31,INR,129900000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,1999,1998,0,1999-03-31,INR,8990000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,1999,1998,0,1999-03-31,INR,333160000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,1999,1998,0,1999-03-31,INR,781970000000
RBI:NOT_COIN_RN(1.0),N_A,NCC14,AFY,1999,1998,0,1999-03-31,INR,448270000000
RBI:NOT_COIN_RN(1.0),N_A,NCC01,AFY,2000,1999,0,2000-03-31,INR,11880000000
RBI:NOT_COIN_RN(1.0),N_A,NCC02,AFY,2000,1999,0,2000-03-31,INR,3080000000
RBI:NOT_COIN_RN(1.0),N_A,NCC03,AFY,2000,1999,0,2000-03-31,INR,12600000000
RBI:NOT_COIN_RN(1.0),N_A,NCC04,AFY,2000,1999,0,2000-03-31,INR,6720000000
RBI:NOT_COIN_RN(1.0),N_A,NCC05,AFY,2000,1999,0,2000-03-31,INR,11640000000
RBI:NOT_COIN_RN(1.0),N_A,NCC07,AFY,2000,1999,0,2000-03-31,INR,5120000000
RBI:NOT_COIN_RN(1.0),N_A,NCC08,AFY,2000,1999,0,2000-03-31,INR,11520000000
RBI:NOT_COIN_RN(1.0),N_A,NCC09,AFY,2000,1999,0,2000-03-31,INR,132820000000
RBI:NOT_COIN_RN(1.0),N_A,NCC10,AFY,2000,1999,0,2000-03-31,INR,10100000000
RBI:NOT_COIN_RN(1.0),N_A,NCC11,AFY,2000,1999,0,2000-03-31,INR,332300000000
RBI:NOT_COIN_RN(1.0),N_A,NCC12,AFY,2000,1999,0,2000-03-31,INR,858310000000
