DATAFLOW,AUDST,COSO_MER_RN,FREQ,REPYEAREND,REPYEARSTART,SOR_MSUR_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1101,0,2009-03-31,INR,615800000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1102,0,2009-03-31,INR,12157530000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR12,0,2009-03-31,INR,32311090000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1201,0,2009-03-31,INR,138200000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR1202,0,2009-03-31,INR,32172890000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR12021,0,2009-03-31,INR,2164790000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR12022,0,2009-03-31,INR,30008100000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR2,0,2009-03-31,INR,100540000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR3,0,2009-03-31,INR,12267480000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR31,0,2009-03-31,INR,12801080000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR32,0,2009-03-31,INR,-533590000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR4,0,2009-03-31,INR,7166930000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2009,2008,SMSR5,0,2009-03-31,INR,1871090000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1,0,2009-07-31,INR,47765600000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR11,0,2009-07-31,INR,14223000000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1101,0,2009-07-31,INR,278460000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1102,0,2009-07-31,INR,13944540000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12,0,2009-07-31,INR,33542600000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1201,0,2009-07-31,INR,116560000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1202,0,2009-07-31,INR,33426030000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12021,0,2009-07-31,INR,3054820000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12022,0,2009-07-31,INR,30371210000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR2,0,2009-07-31,INR,104160000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR3,0,2009-07-31,INR,12586660000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR31,0,2009-07-31,INR,13029530000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR32,0,2009-07-31,INR,-442880000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR4,0,2009-07-31,INR,7946840000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR5,0,2009-07-31,INR,1680700000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1,0,2010-01-15,INR,50686800000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR11,0,2010-01-15,INR,15425060000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1101,0,2010-01-15,INR,914330000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1102,0,2010-01-15,INR,14510730000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12,0,2010-01-15,INR,35261740000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1201,0,2010-01-15,INR,50410000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1202,0,2010-01-15,INR,35211330000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12021,0,2010-01-15,INR,2707900000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12022,0,2010-01-15,INR,32503430000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR2,0,2010-01-15,INR,109190000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR3,0,2010-01-15,INR,12177150000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR31,0,2010-01-15,INR,12751090000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR32,0,2010-01-15,INR,-573950000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR4,0,2010-01-15,INR,7527340000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR5,0,2010-01-15,INR,1915510000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1,0,2010-03-31,INR,54063470000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR11,0,2010-03-31,INR,16691860000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1101,0,2010-03-31,INR,2115860000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1102,0,2010-03-31,INR,14576000000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12,0,2010-03-31,INR,37371610000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1201,0,2010-03-31,INR,13280000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR1202,0,2010-03-31,INR,37358330000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12021,0,2010-03-31,INR,2435060000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR12022,0,2010-03-31,INR,34923270000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR2,0,2010-03-31,INR,112700000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR3,0,2010-03-31,INR,11758710000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR31,0,2010-03-31,INR,12319440000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR32,0,2010-03-31,INR,-560730000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR4,0,2010-03-31,INR,7021990000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2010,2009,SMSR5,0,2010-03-31,INR,2493140000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1,0,2010-12-31,INR,60878340000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR11,0,2010-12-31,INR,17970930000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1101,0,2010-12-31,INR,2639520000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1102,0,2010-12-31,INR,15331410000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR12,0,2010-12-31,INR,42907410000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1201,0,2010-12-31,INR,16260000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1202,0,2010-12-31,INR,42891150000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR12021,0,2010-12-31,INR,2404690000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR12022,0,2010-12-31,INR,40486460000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR2,0,2010-12-31,INR,123730000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR3,0,2010-12-31,INR,12263880000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR31,0,2010-12-31,INR,13018700000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR32,0,2010-12-31,INR,-754830000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR4,0,2010-12-31,INR,7949150000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR5,0,2010-12-31,INR,2578260000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1,0,2011-03-31,INR,65026560000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR11,0,2011-03-31,INR,19838960000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1101,0,2011-03-31,INR,3965550000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1102,0,2011-03-31,INR,15873410000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR12,0,2011-03-31,INR,45187600000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1201,0,2011-03-31,INR,21640000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR1202,0,2011-03-31,INR,45165960000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR12021,0,2011-03-31,INR,2815280000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR12022,0,2011-03-31,INR,42350680000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR2,0,2011-03-31,INR,127240000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR3,0,2011-03-31,INR,12674460000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR31,0,2011-03-31,INR,13285690000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR32,0,2011-03-31,INR,-611240000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR4,0,2011-03-31,INR,8449970000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2011,2010,SMSR5,0,2011-03-31,INR,3724480000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR1,0,2011-07-15,INR,67569970000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR11,0,2011-07-15,INR,21371390000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR1101,0,2011-07-15,INR,3754230000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR1102,0,2011-07-15,INR,17617160000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR12,0,2011-07-15,INR,46198580000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR1201,0,2011-07-15,INR,14070000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR1202,0,2011-07-15,INR,46184510000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR12021,0,2011-07-15,INR,2939060000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR12022,0,2011-07-15,INR,43245450000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR2,0,2011-07-15,INR,122460000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR3,0,2011-07-15,INR,12601010000000
RBI:MSURYSOR_F_RN(1.0),N_A,N_A,F,2012,2011,SMSR31,0,2011-07-15,INR,13685080000000
