DATAFLOW,AUDST,FREQ,MON_AGG_ITM,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1998,1997,0,1998-03-31,PT,13.209491
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1998,1997,0,1998-03-31,PT,21.539668
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,1999,1998,0,1999-03-31,PT,19.435367
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,1999,1998,0,1999-03-31,PT,16.049705
RBI:MON_AG_RN(1.0),N_A,AFY,DD,1999,1998,0,1999-03-31,PT,14.877237
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,1999,1998,0,1999-03-31,PT,15.391259
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,1999,1998,0,1999-03-31,PT,8.830463
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,1999,1998,0,1999-03-31,PT,28.790326
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,1999,1998,0,1999-03-31,PT,13.793623
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,1999,1998,0,1999-03-31,PT,19.802289
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,1999,1998,0,1999-03-31,PT,49.352553
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,1999,1998,0,1999-03-31,PT,14.524607
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,1999,1998,0,1999-03-31,PT,21.392334
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2000,1999,0,2000-03-31,PT,14.599319
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2000,1999,0,2000-03-31,PT,11.919926
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2000,1999,0,2000-03-31,PT,9.746459
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2000,1999,0,2000-03-31,PT,10.589119
RBI:MON_AG_RN(1.0),N_A,AFY,NET_RBI_CCG,2000,1999,0,2000-03-31,PT,-3.842081
RBI:MON_AG_RN(1.0),N_A,AFY,NFEABS,2000,1999,0,2000-03-31,PT,15.628075
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CCS,2000,1999,0,2000-03-31,PT,18.093533
RBI:MON_AG_RN(1.0),N_A,AFY,OTH_BNK_CG,2000,1999,0,2000-03-31,PT,25.188991
RBI:MON_AG_RN(1.0),N_A,AFY,RBI_CCS,2000,1999,0,2000-03-31,PT,24.897759
RBI:MON_AG_RN(1.0),N_A,AFY,RES_MON,2000,1999,0,2000-03-31,PT,8.202911
RBI:MON_AG_RN(1.0),N_A,AFY,TIM_DE,2000,1999,0,2000-03-31,PT,16.444012
RBI:MON_AG_RN(1.0),N_A,AFY,BRD_MON,2001,2000,0,2001-03-31,PT,16.814975
RBI:MON_AG_RN(1.0),N_A,AFY,CUR_PUB,2001,2000,0,2001-03-31,PT,10.825007
RBI:MON_AG_RN(1.0),N_A,AFY,DD,2001,2000,0,2001-03-31,PT,11.082783
RBI:MON_AG_RN(1.0),N_A,AFY,NAR_MON,2001,2000,0,2001-03-31,PT,11.011492
