DATAFLOW,AUDST,BASE_PER,CURR_BASK_RN,FREQ,REPYEAREND,REPYEARSTART,TYP_OF_RATE,TYP_TRD_WTS_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-06-30,IX,98.15
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-07-31,IX,70.29
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-07-31,IX,95.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-07-31,IX,100.78
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-07-31,IX,96.9
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-08-31,IX,71.05
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-08-31,IX,97.67
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-08-31,IX,101.86
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-08-31,IX,98.81
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-09-30,IX,71.21
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-09-30,IX,97.96
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-09-30,IX,102.09
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-09-30,IX,99.1
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-10-31,IX,71.44
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-10-31,IX,98.24
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-10-31,IX,102.43
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-10-31,IX,99.38
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-11-30,IX,70.91
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-11-30,IX,97.76
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-11-30,IX,101.66
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-11-30,IX,98.9
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-12-31,IX,70.6
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-12-31,IX,97.16
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2002-12-31,IX,101.21
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2002-12-31,IX,98.29
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-01-31,IX,69.55
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-01-31,IX,96.16
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-01-31,IX,99.72
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-01-31,IX,97.27
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-02-28,IX,99.66
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-02-28,IX,97.9
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-02-28,IX,69.52
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-02-28,IX,96.77
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-02-28,IX,99.66
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-02-28,IX,97.9
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-03-31,IX,99.93
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-03-31,IX,99.13
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-03-31,IX,69.7
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_1993_94,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-03-31,IX,97.99
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,NEER,TRD_WTS,2003-03-31,IX,99.93
RBI:INX_NEER_REER_M_RN(1.0),N_A,MBY_2003_04,CURR_BASK_6CURR,M,2003,2002,REER,TRD_WTS,2003-03-31,IX,99.13
RBI:INX_NEER_REER_M_RN(1.0),N_A,BY_2004_05,CURR_BASK_6CURR,M,2004,2003,NEER,TRD_WTS,2003-04-30,IX,100.89
