DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,TYP_COMD_RN,TIME_PERIOD,TYP_INDX_RN,OBS_VALUE
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_09,2021-03-31,INDX_UNT_VAL,178.013463
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_091,2021-03-31,INDX_QUANT,200.564761
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_091,2021-03-31,INDX_UNT_VAL,139.579332
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_098,2021-03-31,INDX_QUANT,194.805012
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_098,2021-03-31,INDX_UNT_VAL,178.46129
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_1,2021-03-31,INDX_QUANT,98.56772
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_1,2021-03-31,INDX_UNT_VAL,138.840141
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_11,2021-03-31,INDX_QUANT,155.518193
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_11,2021-03-31,INDX_UNT_VAL,106.238729
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_111,2021-03-31,INDX_QUANT,141.71642
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_111,2021-03-31,INDX_UNT_VAL,220.143108
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_112,2021-03-31,INDX_QUANT,156.206435
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_112,2021-03-31,INDX_UNT_VAL,100.558748
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_12,2021-03-31,INDX_QUANT,85.938368
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_12,2021-03-31,INDX_UNT_VAL,146.069839
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_121,2021-03-31,INDX_QUANT,71.639638
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_121,2021-03-31,INDX_UNT_VAL,141.442889
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_122,2021-03-31,INDX_QUANT,144.561909
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_122,2021-03-31,INDX_UNT_VAL,165.039928
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_2,2021-03-31,INDX_QUANT,105.841748
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_2,2021-03-31,INDX_UNT_VAL,96.53569
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_21,2021-03-31,INDX_QUANT,84.966248
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_21,2021-03-31,INDX_UNT_VAL,100.143102
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_211,2021-03-31,INDX_QUANT,85.00245
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_211,2021-03-31,INDX_UNT_VAL,100.135377
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_212,2021-03-31,INDX_QUANT,4.166667
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_212,2021-03-31,INDX_UNT_VAL,117.384188
RBI:TRD_INX_NBR_RN(1.0),N_A,BY_2012_2013,AFY,2021,2020,TERM_TRD_EXP,COMMODITY_22,2021-03-31,INDX_QUANT,107.153669
