DATAFLOW,AUDST,BASE_PER,FREQ,REPYEAREND,REPYEARSTART,TYP_INDX_RN,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2000,1999,TERM_TRD_NET,2000-03-31,IX,100.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,EXP,2001-03-31,IX,624.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,EXP1,2001-03-31,IX,571.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,IMP,2001-03-31,IX,487.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,IMP2,2001-03-31,IX,698.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,INDX_QUANT,2001-03-31,IX,1269.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,INDX_UNT_VAL,2001-03-31,IX,1111.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,TERM_TRD,2001-03-31,IX,981.93039
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,TERM_TRD_GROSS,2001-03-31,IX,122.2
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,TERM_TRD_INC,2001-03-31,IX,731.63039
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1978_79,AFY,2001,2000,TERM_TRD_NET,2001-03-31,IX,128.1
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2001,2000,EXP,2001-03-31,IX,102.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2001,2000,EXP1,2001-03-31,IX,125.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2001,2000,IMP,2001-03-31,IX,109.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2001,2000,IMP2,2001-03-31,IX,99.0
RBI:INX_NBR_TERM_FR_TRD_RN(1.0),N_A,BY_1999_2000,AFY,2001,2000,INDX_QUANT,2001-03-31,IX,224.0
