DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,TYP_SRC_FNDS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CL_OCL,0,2014-03-31,INR,19232000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CL_STBR,0,2014-03-31,INR,76142000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CL_STBR_DEP,0,2014-03-31,INR,791000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CL_STBR_LROD,0,2014-03-31,INR,8111000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CL_STBR_OLA,0,2014-03-31,INR,79457000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CL_STRB_LAFRP,0,2014-03-31,INR,-12216000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CL_TRD_PAYS,0,2014-03-31,INR,-1240000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_CURR_LIB,0,2014-03-31,INR,94134000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_MON_AGST_SHR_WAR,0,2014-03-31,INR,-73000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LNG_BRW,0,2014-03-31,INR,210345000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_BND,0,2014-03-31,INR,213848000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_DEPS,0,2014-03-31,INR,-61000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_DPLS,0,2014-03-31,INR,-46000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_LAAFP,0,2014-03-31,INR,-12328000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_OTH,0,2014-03-31,INR,16014000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_TLS,0,2014-03-31,INR,-7082000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_TLS_BNK,0,2014-03-31,INR,-9122000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NCL_LTB_TLS_OTH,0,2014-03-31,INR,2040000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_NON_CURR_LIB,0,2014-03-31,INR,211979000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_SHR_APP_MON_PEN_ALT,0,2014-03-31,INR,532000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES_SHR_CAP_PRM,0,2014-03-31,INR,-4146000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,ES__NCL_OTH_LTA,0,2014-03-31,INR,1634000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,EXT_SRC,0,2014-03-31,INR,302426000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,INT_SRC,0,2014-03-31,INR,53043000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_PRV,0,2014-03-31,INR,4470000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_PRV_DEP,0,2014-03-31,INR,83000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_PRV_OCP,0,2014-03-31,INR,3801000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_PRV_ONCP,0,2014-03-31,INR,587000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_PU_CAP,0,2014-03-31,INR,7348000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_RES_CAP_RES,0,2014-03-31,INR,3826000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_RES_DEB_RED,0,2014-03-31,INR,-218000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_RES_OTH,0,2014-03-31,INR,37618000000
RBI:SRC_FND_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,CURR_FIN_YR,2014,2013,IS_RES_SRPLS,0,2014-03-31,INR,41225000000
