DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FINC_RATIOS_RN,FREQ,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_NET_PFT_NET_WRT,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,7.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_NET_PFT_NET_WRT,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,6.3
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_NET_PFT_NET_WRT,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,5.0
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_NET_PFT_TTL_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,1.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_NET_PFT_TTL_NET_AST,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,1.4
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_NET_PFT_TTL_NET_AST,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,1.2
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_OP_PFT_FIN_INC,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,21.9
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_OP_PFT_FIN_INC,AFY,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,21.5
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_OP_PFT_FIN_INC,AFY,PREV_TO_PREV_FIN_YR,2014,2013,0,2014-03-31,PT,17.6
RBI:FIN_RATIOS_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,PR_OP_PFT_NET_AST,AFY,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,2.5
