DATAFLOW,ACT_CAT_RN,AUDST,COMP_COUNT,FREQ,GRWT_RT_RATIOS_RN,REF_TIME_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_INVS,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,3.0
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_INVS,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,11.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_LNA,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,17.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_LNA,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,26.9
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_NET_PFT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,30.0
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_NET_PFT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,42.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_NET_WRT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,8.5
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_NET_WRT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,13.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_NFI,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,-35.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_NFI,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-59.5
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_NOSD,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,-164.4
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_OP_EBDT,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,17.7
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_OP_EBDT,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,60.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_PRF_RET,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,30.6
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_PRF_RET,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,47.5
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_TAX_PRV,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,19.1
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_TAX_PRV,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,6.0
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_TTL_EXP,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,14.2
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_TTL_EXP,PREV_FIN_YR,2014,2013,0,2014-03-31,PT,24.3
RBI:GWT_RT_NGNBFI_AW_RN(1.0),AC_AST_FIN,N_A,2995,AFY,GRP_TTL_INC,CURR_FIN_YR,2014,2013,0,2014-03-31,PT,16.5
