DATAFLOW,AUDST,FREQ,INF_OUT_DEP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2016,2015,0,2016-03-31,USD,16051717477
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2016,2015,0,2016-03-31,USD,2492184388
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2016,2015,0,2016-03-31,USD,12458738870
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2015,2014,0,2015-03-31,USD,1000962559
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2015,2014,0,2015-03-31,USD,855695785
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2015,2014,0,2015-03-31,INR,61202400000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2015,2014,0,2015-03-31,USD,12199884956
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2015,2014,0,2015-03-31,INR,859467500000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2015,2014,0,2015-03-31,INR,745944800000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2015,2014,0,2015-03-31,USD,14056543300
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2015,2014,0,2015-03-31,INR,52320300000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2014,2013,0,2014-03-31,INR,18353000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2014,2013,0,2014-03-31,INR,2323643000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2014,2013,0,2014-03-31,USD,303345517
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2014,2013,0,2014-03-31,USD,38406070882
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2014,2013,0,2014-03-31,USD,26634505798
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2014,2013,0,2014-03-31,INR,693850000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2014,2013,0,2014-03-31,INR,1611440000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2014,2013,0,2014-03-31,USD,11468219567
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2013,2012,0,2013-03-31,USD,220208514
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2013,2012,0,2013-03-31,INR,807630000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2013,2012,0,2013-03-31,USD,-1775282260
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2013,2012,0,2013-03-31,USD,14843817024
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2013,2012,0,2013-03-31,INR,11970000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2013,2012,0,2013-03-31,USD,16398890770
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2013,2012,0,2013-03-31,INR,-96590000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2013,2012,0,2013-03-31,INR,892250000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2012,2011,0,2012-03-31,INR,192314600000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2012,2011,0,2012-03-31,USD,11920000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2012,2011,0,2012-03-31,INR,409117800000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2012,2011,0,2012-03-31,USD,8537000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2012,2011,0,2012-03-31,INR,-30191400000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2012,2011,0,2012-03-31,USD,-630000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2012,2011,0,2012-03-31,USD,4013000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2012,2011,0,2012-03-31,INR,571241000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2011,2010,0,2011-03-31,USD,3239000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2011,2010,0,2011-03-31,USD,1339000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2011,2010,0,2011-03-31,INR,-12761500000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2011,2010,0,2011-03-31,INR,61027299999.99999
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2011,2010,0,2011-03-31,INR,99357400000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2011,2010,0,2011-03-31,USD,-280000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2011,2010,0,2011-03-31,INR,147623200000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2011,2010,0,2011-03-31,USD,2180000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2010,2009,0,2010-03-31,INR,138551300000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2010,2009,0,2010-03-31,USD,1946000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2010,2009,0,2010-03-31,INR,49645200000.00001
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2010,2009,0,2010-03-31,USD,-71000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2010,2009,0,2010-03-31,INR,92272700000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2010,2009,0,2010-03-31,USD,1047000000
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2010,2009,0,2010-03-31,INR,-3366600000.000001
RBI:NRI_DEPOSITS_IN_OUT_A_RN(1.0),N_A,AFY,TTL,2010,2009,0,2010-03-31,USD,2922000000
