DATAFLOW,AUDST,FREQ,FRG_LIB_ASS_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,671000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2019,2018,ASST_MGMT_COMP,0,2019-03-31,INR,215280000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2019,2018,ASST_MGMT_COMP,0,2019-03-31,USD,3112000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,861050000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,12448000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2019,2018,MTL_FND_COMP,0,2019-03-31,INR,160000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_OTH_FR_ASS,2019,2018,MTL_FND_COMP,0,2019-03-31,USD,2000000.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2020,2019,ASST_MGMT_COMP,0,2020-03-31,INR,4680000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2020,2019,ASST_MGMT_COMP,0,2020-03-31,USD,62000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2020,2019,MTL_FND_COMP,0,2020-03-31,INR,58640000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS,2020,2019,MTL_FND_COMP,0,2020-03-31,USD,778000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2020,2019,MTL_FND_COMP,0,2020-03-31,INR,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_DS,2020,2019,MTL_FND_COMP,0,2020-03-31,USD,0.0
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2020,2019,MTL_FND_COMP,0,2020-03-31,INR,58080000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_ASS_ES,2020,2019,MTL_FND_COMP,0,2020-03-31,USD,770000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2020,2019,ASST_MGMT_COMP,0,2020-03-31,INR,333000000000
RBI:FR_LIB_ASSTS_MUT_RN(1.0),N_A,AFY,FLA_FR_LIB,2020,2019,ASST_MGMT_COMP,0,2020-03-31,USD,4417000000
