DATAFLOW,AUDST,FREQ,INVT_CAT_OLD_RN,INVT_CAT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-06-30,USD,56000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-06-30,USD,37000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-06-30,USD,400000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-06-30,USD,-272000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-06-30,USD,-272000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-06-30,USD,400000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-06-30,USD,128000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-07-31,USD,62000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-07-31,USD,70000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-07-31,USD,22000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-07-31,USD,154000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-07-31,USD,43000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-07-31,USD,43000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-07-31,USD,154000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-07-31,USD,197000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-08-31,USD,26000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-08-31,USD,82000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-08-31,USD,31000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-08-31,USD,139000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-08-31,USD,-33000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-08-31,USD,-33000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-08-31,USD,139000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-08-31,USD,106000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-09-30,USD,123000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-09-30,USD,42000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-09-30,USD,39000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-09-30,USD,204000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-09-30,USD,-131000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-09-30,USD,-131000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-09-30,USD,204000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-09-30,USD,73000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-10-31,USD,14000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-10-31,USD,135000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-10-31,USD,64000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-10-31,USD,213000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-10-31,USD,-9000000.0
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_GDR_ADR,N_A,2003,2002,0,2002-10-31,USD,117000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-10-31,USD,108000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-10-31,USD,213000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-10-31,USD,321000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-11-30,USD,83000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-11-30,USD,37000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-11-30,USD,37000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-11-30,USD,157000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-11-30,USD,184000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-11-30,USD,184000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-11-30,USD,157000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-11-30,USD,341000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2002-12-31,USD,17000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2002-12-31,USD,41000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2002-12-31,USD,52000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2002-12-31,USD,110000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2002-12-31,USD,53000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_GDR_ADR,N_A,2003,2002,0,2002-12-31,USD,400000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PORTF_INV,N_A,2003,2002,0,2002-12-31,USD,453000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_EQT,N_A,2003,2002,0,2002-12-31,USD,110000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_FII,N_A,2003,2002,0,2002-12-31,USD,563000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_ACQ_SHAR,N_A,2003,2002,0,2003-01-31,USD,36000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_GOVT_SIA_FIPB,N_A,2003,2002,0,2003-01-31,USD,100000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,EQT_RBI,N_A,2003,2002,0,2003-01-31,USD,21000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_DI_IND,N_A,2003,2002,0,2003-01-31,USD,157000000
RBI:FR_INV_INFLW_RN(1.0),N_A,M,INV_CAT_PI_FII,N_A,2003,2002,0,2003-01-31,USD,269000000
