DATAFLOW,AUDST,FREQ,MOD_OUTW_REMT_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2025-01-31,USD,104981299.41
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2025-01-31,USD,58196395.52
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2025-01-31,USD,627856.74
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2025-01-31,USD,368205684.89
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2025-01-31,USD,2768893037.45
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2025-01-31,USD,308763542.97
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2025-01-31,USD,9963413.97
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2025-01-31,USD,1646742368.17
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2025-01-31,USD,34185868.33
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2025-01-31,USD,232759489.43
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2025-01-31,USD,4467118.02
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2024-12-31,USD,48101527.49
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2024-12-31,USD,5126380.24
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2024-12-31,USD,279017694.93
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_INV_EQT_DEB,2025,2024,0,2024-12-31,USD,179335493.21
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2024-12-31,USD,625121.48
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2024-12-31,USD,2315956784.56
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2024-12-31,USD,10307742.29
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2024-12-31,USD,1323636216.31
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_STD_ABD,2025,2024,0,2024-12-31,USD,210195259.26
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_GFT,2025,2024,0,2024-12-31,USD,229472739.62
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2024-12-31,USD,30138609.73
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_PUR_IMV_PROP,2025,2024,0,2024-11-30,USD,23532490.07
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DEP,2025,2024,0,2024-11-30,USD,40209717
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MANT_CLS_RELV,2025,2024,0,2024-11-30,USD,276784429.67
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_OTH,2025,2024,0,2024-11-30,USD,9317631.36
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_MED_TRT,2025,2024,0,2024-11-30,USD,7486922.91
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_TRV,2025,2024,0,2024-11-30,USD,1113783420.11
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_DON,2025,2024,0,2024-11-30,USD,616849.12
RBI:OUTW_REMIT_RN(1.0),N_A,M,OUTW_REMT_LRS_TTL,2025,2024,0,2024-11-30,USD,1946432468.27
