DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_FD_OVRS_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_NRO_NRI,0,2024-04-30,USD,27564267796.183
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2025,2024,FXD_DEP_OVRS_FCNRB_NRI,0,2024-04-30,USD,26216434067.879
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2024-03-31,USD,98623630068.883
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2024-03-31,USD,27521726655.464
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2024-03-31,USD,151878681745.727
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2024-03-31,USD,25733325021.38
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2024-02-29,USD,149723611589.342
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2024-02-29,USD,27139634138.249
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2024-02-29,USD,24901663117.637
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2024-02-29,USD,97682314333.456
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2024-01-31,USD,23517120669.43
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRI_DEP,0,2024-01-31,USD,147732197219.532
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRERA_NRI,0,2024-01-31,USD,97465919641.944
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_NRO_NRI,0,2024-01-31,USD,26749156908.158
RBI:NRI_DEPOSITS_OUTS_RN(1.0),N_A,M,2024,2023,FXD_DEP_OVRS_FCNRB_NRI,0,2023-12-31,USD,22815305114.274
