DATAFLOW,AUDST,COUNTRYCODE,FREQ,FRG_LIB_ASS_RN,MEASURE_RN,REPYEAREND,REPYEARSTART,TYP_ENT_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GB,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,11930000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,GG,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,230000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,HK,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,3430000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,HK,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,19680000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,HK,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,27480000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,JP,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,0.0
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,JP,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,210000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,KR,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,1460000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,KR,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,1300000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,LU,AFY,FLA_FR_EHA,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,25600000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,LU,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,3380000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,70000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,2030000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,4190000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MU,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,11210000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,MY,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,150000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OM,AFY,FLA_FR_LIB,FAC_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,1830000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OM,AFY,FLA_FR_LIB,MRKT_VAL,2010,2009,MTL_FND_COMP,0,2010-03-31,INR,3260000000
RBI:FR_LIB_ASS_MUT_RN(1.0),N_A,OTH,AFY,FLA_FR_ASS,MRKT_VAL,2010,2009,ASST_MGMT_COMP,0,2010-03-31,INR,70000000
