DATAFLOW,AUDST,FREQ,INTER_INVS_TYP_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_CB_MAWR,2019,2018,0,2018-06-30,INR,0.0
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_DTCECB,2019,2018,0,2018-06-30,INR,668091400000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_DTCECB,2019,2018,0,2018-06-30,USD,9742450000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_DTCECB_LNG_TRM,2019,2018,0,2018-06-30,INR,668091400000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_DTCECB_LNG_TRM,2019,2018,0,2018-06-30,USD,9742450000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_GG,2019,2018,0,2018-06-30,INR,93293900000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_GG,2019,2018,0,2018-06-30,USD,1360460000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_GG_LNG_TRM,2019,2018,0,2018-06-30,INR,93293900000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_GG_LNG_TRM,2019,2018,0,2018-06-30,USD,1360460000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS,2019,2018,0,2018-06-30,INR,361323700000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS,2019,2018,0,2018-06-30,USD,5555060000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_LNG_TRM,2019,2018,0,2018-06-30,INR,361323700000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_LNG_TRM,2019,2018,0,2018-06-30,USD,5555060000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_NFCH_NPISH,2019,2018,0,2018-06-30,INR,356737200000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_NFCH_NPISH,2019,2018,0,2018-06-30,USD,5484550000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_NFCH_NPISH_LNG_TRM,2019,2018,0,2018-06-30,INR,356737200000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_NFCH_NPISH_LNG_TRM,2019,2018,0,2018-06-30,USD,5484550000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_OFC,2019,2018,0,2018-06-30,INR,4586500000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_OFC,2019,2018,0,2018-06-30,USD,70510000
RBI:INTR_INV_POS_IND_BPM6_RN(1.0),N_A,QFY,IIA_OI_OAR_OS_OFC_LNG_TRM,2019,2018,0,2018-06-30,INR,4586500000
