DATAFLOW,AUDST,FREQ,NRI_DEP_OS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2015,2014,0,2015-03-31,USD,62745831529
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2015,2014,0,2015-03-31,USD,9593052986
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2015,2014,0,2015-03-31,INR,3928322000000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2015,2014,0,2015-03-31,INR,600591300000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2015,2014,0,2015-03-31,USD,42823687357
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2015,2014,0,2015-03-31,INR,2681058300000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,TTL,2014,2013,0,2014-03-31,USD,103844089329
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRO,2014,2013,0,2014-03-31,INR,547737200000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2014,2013,0,2014-03-31,INR,2513537400000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_FCNRB,2014,2013,0,2014-03-31,USD,41822724867
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2014,2013,0,2014-03-31,INR,3179734400000
RBI:NRI_DEPOSITS_OUTS_A_RN(1.0),N_A,AFY,FXD_DEP_OVRS_NRERA,2014,2013,0,2014-03-31,USD,52907570407
