DATAFLOW,AUDST,CAT_EXT_AST_RN,FREQ,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1992,1991,0,1992-03-31,USD,2688000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1992,1991,0,1992-03-31,INR,9190000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1992,1991,0,1992-03-31,USD,371000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1992,1991,0,1992-03-31,INR,9020000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1992,1991,0,1992-03-31,USD,364000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1992,1991,0,1992-03-31,INR,30060000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1992,1991,0,1992-03-31,USD,1214000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1992,1991,0,1992-03-31,INR,118060000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1992,1991,0,1992-03-31,USD,4766000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1992,1991,0,1992-03-31,INR,106960000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1992,1991,0,1992-03-31,USD,4318000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1992,1991,0,1992-03-31,INR,49590000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1992,1991,0,1992-03-31,USD,2001000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1992,1991,0,1992-03-31,INR,127080000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1992,1991,0,1992-03-31,USD,5130000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1992,1991,0,1992-03-31,INR,116150000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1992,1991,0,1992-03-31,USD,4689000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1993,1992,0,1993-03-31,INR,47880000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1993,1992,0,1993-03-31,USD,1540000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1993,1992,0,1993-03-31,INR,87490000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1993,1992,0,1993-03-31,USD,2814000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1993,1992,0,1993-03-31,INR,8800000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRANTS,AFY,1993,1992,0,1993-03-31,USD,288000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1993,1992,0,1993-03-31,INR,10120000000
RBI:EXTR_ASSIST_RN(1.0),N_A,GRNT,AFY,1993,1992,0,1993-03-31,USD,331000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1993,1992,0,1993-03-31,INR,39610000000
RBI:EXTR_ASSIST_RN(1.0),N_A,INT,AFY,1993,1992,0,1993-03-31,USD,1274000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1993,1992,0,1993-03-31,INR,130820000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LN,AFY,1993,1992,0,1993-03-31,USD,4276000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1993,1992,0,1993-03-31,INR,101020000000
RBI:EXTR_ASSIST_RN(1.0),N_A,LOANS,AFY,1993,1992,0,1993-03-31,USD,3302000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1993,1992,0,1993-03-31,INR,22330000000
RBI:EXTR_ASSIST_RN(1.0),N_A,NET_INFL_AID,AFY,1993,1992,0,1993-03-31,USD,776000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1993,1992,0,1993-03-31,INR,140940000000
RBI:EXTR_ASSIST_RN(1.0),N_A,TTL_AUTH,AFY,1993,1992,0,1993-03-31,USD,4607000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1993,1992,0,1993-03-31,INR,109820000000
RBI:EXTR_ASSIST_RN(1.0),N_A,UTL_TTL,AFY,1993,1992,0,1993-03-31,USD,3590000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1994,1993,0,1994-03-31,INR,53520000000
RBI:EXTR_ASSIST_RN(1.0),N_A,AMORT,AFY,1994,1993,0,1994-03-31,USD,1712000000
RBI:EXTR_ASSIST_RN(1.0),N_A,DSP_TTL,AFY,1994,1993,0,1994-03-31,INR,95510000000
