DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_MAJ_FR_EXC_RES_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-14,INR,1655023500000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-11-14,INR,49898887699999.99
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-14,INR,424133800000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-11-14,INR,61460824599999.99
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-14,USD,18649770000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-11-14,INR,9482779600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-11-14,USD,692576460000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-11-14,USD,106857490000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-14,SDR,13711660000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_TTL,0,2025-11-07,INR,60916833600000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-07,USD,4771890000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_FR_CURR_ASS,0,2025-11-07,USD,562137350000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_GLD,0,2025-11-07,INR,9002343700000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-07,USD,18593550000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_RES_TRN_POS,0,2025-11-07,INR,423290100000
RBI:FR_EXG_RESV_RN(1.0),N_A,W,2026,2025,FER_SDR,0,2025-11-07,SDR,13709020000
