DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_SGEXP_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2004,2003,SE1203,0,2004-03-31,INR,683260000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2004,2003,SE1201,0,2004-03-31,INR,515730000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2004,2003,SE1,0,2004-03-31,INR,5143020000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2003,2002,SE11,0,2003-03-31,INR,3308530000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2003,2002,SE1203,0,2003-03-31,INR,331510000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2003,2002,SE1202,0,2003-03-31,INR,105900000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2003,2002,SE1201,0,2003-03-31,INR,356550000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2003,2002,SE12,0,2003-03-31,INR,793960000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2003,2002,SE1,0,2003-03-31,INR,4102490000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2002,2001,SE1,0,2002-03-31,INR,3686800000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2002,2001,SE11,0,2002-03-31,INR,3098190000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2002,2001,SE1202,0,2002-03-31,INR,95140000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2002,2001,SE1203,0,2002-03-31,INR,176890000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2002,2001,SE12,0,2002-03-31,INR,588610000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2002,2001,SE1201,0,2002-03-31,INR,316580000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2001,2000,SE1,0,2001-03-31,INR,3398350000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2001,2000,SE11,0,2001-03-31,INR,2878250000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2001,2000,SE12,0,2001-03-31,INR,520100000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2001,2000,SE1203,0,2001-03-31,INR,126270000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2001,2000,SE1202,0,2001-03-31,INR,91230000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2001,2000,SE1201,0,2001-03-31,INR,302600000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2000,1999,SE1203,0,2000-03-31,INR,118400000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2000,1999,SE11,0,2000-03-31,INR,2574750000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2000,1999,SE1,0,2000-03-31,INR,3079770000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2000,1999,SE12,0,2000-03-31,INR,505010000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2000,1999,SE1202,0,2000-03-31,INR,136590000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,2000,1999,SE1201,0,2000-03-31,INR,250020000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1999,1998,SE1,0,1999-03-31,INR,2614190000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1999,1998,SE11,0,1999-03-31,INR,2172490000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1999,1998,SE1201,0,1999-03-31,INR,227310000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1999,1998,SE1202,0,1999-03-31,INR,98540000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1999,1998,SE1203,0,1999-03-31,INR,115840000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1999,1998,SE12,0,1999-03-31,INR,441690000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1998,1997,SE1202,0,1998-03-31,INR,93330000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1998,1997,SE1,0,1998-03-31,INR,2239240000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1998,1997,SE12,0,1998-03-31,INR,396120000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1998,1997,SE11,0,1998-03-31,INR,1843120000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1998,1997,SE1203,0,1998-03-31,INR,81420000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1998,1997,SE1201,0,1998-03-31,INR,221370000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1997,1996,SE12,0,1997-03-31,INR,323350000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1997,1996,SE1203,0,1997-03-31,INR,67340000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1997,1996,SE1,0,1997-03-31,INR,1992540000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1997,1996,SE11,0,1997-03-31,INR,1669190000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1997,1996,SE1202,0,1997-03-31,INR,84780000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1997,1996,SE1201,0,1997-03-31,INR,171230000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1996,1995,SE1201,0,1996-03-31,INR,182260000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1996,1995,SE1203,0,1996-03-31,INR,57850000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1996,1995,SE12,0,1996-03-31,INR,315060000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1996,1995,SE1,0,1996-03-31,INR,1746320000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1996,1995,SE11,0,1996-03-31,INR,1431270000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1996,1995,SE1202,0,1996-03-31,INR,74950000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1995,1994,SE12,0,1995-03-31,INR,321380000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1995,1994,SE1202,0,1995-03-31,INR,86520000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1995,1994,SE1203,0,1995-03-31,INR,63480000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1995,1994,SE1201,0,1995-03-31,INR,171380000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1995,1994,SE1,0,1995-03-31,INR,1591470000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1995,1994,SE11,0,1995-03-31,INR,1270090000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1994,1993,SE1,0,1994-03-31,INR,1338490000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1994,1993,SE1201,0,1994-03-31,INR,123540000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1994,1993,SE11,0,1994-03-31,INR,1088680000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1994,1993,SE1203,0,1994-03-31,INR,60690000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1994,1993,SE12,0,1994-03-31,INR,249800000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1994,1993,SE1202,0,1994-03-31,INR,65570000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1993,1992,SE1203,0,1993-03-31,INR,54290000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1993,1992,SE1,0,1993-03-31,INR,1193350000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1993,1992,SE11,0,1993-03-31,INR,962050000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1993,1992,SE12,0,1993-03-31,INR,231290000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1993,1992,SE1202,0,1993-03-31,INR,70450000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1993,1992,SE1201,0,1993-03-31,INR,106550000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1992,1991,SE1202,0,1992-03-31,INR,64640000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1992,1991,SE1203,0,1992-03-31,INR,51830000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1992,1991,SE1201,0,1992-03-31,INR,100960000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1992,1991,SE12,0,1992-03-31,INR,217430000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1992,1991,SE11,0,1992-03-31,INR,861860000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1992,1991,SE1,0,1992-03-31,INR,1079290000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1991,1990,SE11,0,1991-03-31,INR,717760000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1991,1990,SE1203,0,1991-03-31,INR,43340000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1991,1990,SE1202,0,1991-03-31,INR,57550000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1991,1990,SE1,0,1991-03-31,INR,910880000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1991,1990,SE12,0,1991-03-31,INR,193120000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1991,1990,SE1201,0,1991-03-31,INR,92230000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1990,1989,SE11,0,1990-03-31,INR,602170000000
RBI:SG_CAP_REV_EXP_RN(1.0),N_A,AFY,1990,1989,SE1,0,1990-03-31,INR,767820000000
