DATAFLOW,AUDST,FREQ,INDICATORS_RN,REPYEAREND,REPYEARSTART,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1997,1996,0,1997-03-31,RO,2.576
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1997,1996,0,1997-03-31,RO,0.7874
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1997,1996,0,1997-03-31,RO,-0.5995
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1997,1996,0,1997-03-31,RO,0.5074
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1997,1996,0,1997-03-31,RO,14.0391
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1997,1996,0,1997-03-31,RO,10.5717
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1997,1996,0,1997-03-31,RO,7.2998
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1997,1996,0,1997-03-31,RO,3.2718
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1997,1996,0,1997-03-31,RO,13.5317
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1998,1997,0,1998-03-31,RO,1.1124
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1998,1997,0,1998-03-31,RO,2.7648
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1998,1997,0,1998-03-31,RO,0.8697
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1998,1997,0,1998-03-31,RO,-0.7827
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1998,1997,0,1998-03-31,RO,-0.1147
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1998,1997,0,1998-03-31,RO,14.241
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1998,1997,0,1998-03-31,RO,10.6093
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1998,1997,0,1998-03-31,RO,7.5489
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1998,1997,0,1998-03-31,RO,3.0604
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1998,1997,0,1998-03-31,RO,14.3556
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,1999,1998,0,1999-03-31,RO,2.4655
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,1999,1998,0,1999-03-31,RO,4.0643
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND3,1999,1998,0,1999-03-31,RO,2.0991
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND4,1999,1998,0,1999-03-31,RO,0.5002
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND5,1999,1998,0,1999-03-31,RO,0.1812
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND6,1999,1998,0,1999-03-31,RO,14.496
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND7,1999,1998,0,1999-03-31,RO,9.5813
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND71,1999,1998,0,1999-03-31,RO,6.9496
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND72,1999,1998,0,1999-03-31,RO,2.6317
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND8,1999,1998,0,1999-03-31,RO,14.3148
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND1,2000,1999,0,2000-03-31,RO,2.6963
RBI:FISG_GDP_RN(1.0),N_A,AFY,IND2,2000,1999,0,2000-03-31,RO,4.4534
