DATAFLOW,AUDST,FREQ,REPYEAREND,REPYEARSTART,TYP_LIABLTY_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB3,0,2012-03-31,INR,2534460000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB11,0,2012-03-31,INR,7526829000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB31,0,2012-03-31,INR,2157163000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB32,0,2012-03-31,INR,377296000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB2,0,2012-03-31,INR,1435477000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB12,0,2012-03-31,INR,750000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB4,0,2012-03-31,INR,919363000000
RBI:SGL_RN(1.0),N_A,AFY,2012,2011,TLB1,0,2012-03-31,INR,13228680000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB12,0,2011-03-31,INR,780000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB31,0,2011-03-31,INR,1930880000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TTL_LIABLITIES,0,2011-03-31,INR,18289760000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB4,0,2011-03-31,INR,1031720000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB13,0,2011-03-31,INR,14100000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB11,0,2011-03-31,INR,6185180000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB6,0,2011-03-31,INR,33740000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB5,0,2011-03-31,INR,1536560000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB15,0,2011-03-31,INR,4946440000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB1,0,2011-03-31,INR,11963690000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB14,0,2011-03-31,INR,817180000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB2,0,2011-03-31,INR,1441700000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB3,0,2011-03-31,INR,2282350000000
RBI:SGL_RN(1.0),N_A,AFY,2011,2010,TLB32,0,2011-03-31,INR,351480000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB14,0,2010-03-31,INR,834820000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB5,0,2010-03-31,INR,1345270000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB12,0,2010-03-31,INR,790000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB3,0,2010-03-31,INR,2005610000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TTL_LIABLITIES,0,2010-03-31,INR,16486500000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB1,0,2010-03-31,INR,10736260000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB31,0,2010-03-31,INR,1693660000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB11,0,2010-03-31,INR,5345690000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB15,0,2010-03-31,INR,4550150000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB6,0,2010-03-31,INR,24330000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB2,0,2010-03-31,INR,1431520000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB4,0,2010-03-31,INR,943500000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB13,0,2010-03-31,INR,4810000000
RBI:SGL_RN(1.0),N_A,AFY,2010,2009,TLB32,0,2010-03-31,INR,311940000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB31,0,2009-03-31,INR,1498870000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB3,0,2009-03-31,INR,1774340000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB4,0,2009-03-31,INR,839270000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB2,0,2009-03-31,INR,1438700000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TTL_LIABLITIES,0,2009-03-31,INR,14701950000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB14,0,2009-03-31,INR,777800000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB32,0,2009-03-31,INR,275470000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB1,0,2009-03-31,INR,9337620000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB15,0,2009-03-31,INR,4319150000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB12,0,2009-03-31,INR,800000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB5,0,2009-03-31,INR,1283500000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB6,0,2009-03-31,INR,28530000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB13,0,2009-03-31,INR,3720000000
RBI:SGL_RN(1.0),N_A,AFY,2009,2008,TLB11,0,2009-03-31,INR,4236150000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB31,0,2008-03-31,INR,1370770000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB12,0,2008-03-31,INR,800000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB11,0,2008-03-31,INR,3216510000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB4,0,2008-03-31,INR,782650000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB13,0,2008-03-31,INR,2550000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB3,0,2008-03-31,INR,1619720000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB6,0,2008-03-31,INR,20730000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB15,0,2008-03-31,INR,4308790000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB1,0,2008-03-31,INR,8243040000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB5,0,2008-03-31,INR,1165910000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB14,0,2008-03-31,INR,714380000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TTL_LIABLITIES,0,2008-03-31,INR,13283020000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB2,0,2008-03-31,INR,1450980000000
RBI:SGL_RN(1.0),N_A,AFY,2008,2007,TLB32,0,2008-03-31,INR,248950000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB4,0,2007-03-31,INR,787610000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB13,0,2007-03-31,INR,2990000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB5,0,2007-03-31,INR,1010680000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB6,0,2007-03-31,INR,13190000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB31,0,2007-03-31,INR,1262110000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB14,0,2007-03-31,INR,693380000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB2,0,2007-03-31,INR,1466530000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB3,0,2007-03-31,INR,1499200000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB15,0,2007-03-31,INR,4253090000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB32,0,2007-03-31,INR,237090000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB1,0,2007-03-31,INR,7638550000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB12,0,2007-03-31,INR,820000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TLB11,0,2007-03-31,INR,2688280000000
RBI:SGL_RN(1.0),N_A,AFY,2007,2006,TTL_LIABLITIES,0,2007-03-31,INR,12415760000000
RBI:SGL_RN(1.0),N_A,AFY,2006,2005,TLB14,0,2006-03-31,INR,718450000000
